KO	WT	KO_1	KO_2	KO_3	KO_4	WT_1	WT_2	WT_3	WT_4	mean_KO	mean_WT	pvalue	qvalue	active_WT	active_KO	fold	qvalue_0_05	fold_1_5	active	final_sig	final_sig_2
11	chr20:49157636-49157807::F3_0	chr20:49157636-49157807::F3_17	0.297977289115695	0.25371156583412	0.225539640058645	0.388060641692335	1.35210107191011	1.09485853027317	1.31770370394682	1.26334875459367	0.291322284175199	1.25700301518094	2.84904029251112e-05	0.000715740801086957	1	1	-0.965680731005741	1	1	1	1	1
12	chr1:41616766-41616937::F2_0	chr1:41616766-41616937::F2_17	0.938400204114617	0.6381795744929	0.728153833648665	0.85182585464507	0.622625630423409	0.292817746979273	0.453387023696068	0.372997008088008	0.789139866725313	0.43545685229669	0.0107030158784086	0.0313578597134166	1	1	0.353683014428623	1	0	1	0	0
13	chr2:238027612-238027783::F3_0	chr2:238027612-238027783::F3_17	-1.31763365126753	-1.05020532074705	-1.09351401584869	-0.958587245795353	-0.812978357947875	-0.574246908957737	-0.497230532508937	-0.467328040793959	-1.10498505841466	-0.587945960052127	0.00323081397931816	0.0131602928930113	0	0	-0.517039098362533	1	0	0	0	0
14	chr14:33030899-33031070::F3_0	chr14:33030899-33031070::F3_17	-0.425451569201809	-0.391138054868101	-0.118632473267001	-0.199218622319963	-1.05343368620549	-0.419736918512494	-1.08829804167062	-0.906137303545975	-0.283610179914218	-0.866901487483645	0.0240007759225528	0.0580873181874512	0	0	0.583291307569427	0	2	0	0	0
15	chr1:101669803-101669974::F3_0	chr1:101669803-101669974::F3_17	0.171951267947969	0.0103758788552971	0.430299907655541	0.24827279303726	0.104386507685082	0.227237431365741	0.120350501431411	0.256368702580348	0.215224961874017	0.177085785765645	0.708369730625303	0.781571690069889	1	1	0.038139176108372	0	0	1	0	0
16	chr5:123932517-123932688::F1_0	chr5:123932517-123932688::F1_17	-1.21603308842972	-0.843225146728203	-1.18021038355571	-0.939331653611287	-0.633056025999283	-0.605157616929036	-0.185780999659614	-0.0724915185765179	-1.04470006808123	-0.374121540291113	0.0105447307885949	0.0309431000730861	0	0	-0.670578527790117	1	1	0	0	1
17	chr10:4111902-4112073::F3_0	chr10:4111902-4112073::F3_17	0.654863602892399	0.361140669876669	0.566649173056579	0.400030457859168	0.504502586971114	0.206089256330324	0.70348676813677	0.38209156947612	0.495670975921204	0.449042545228582	0.724838966202332	0.79594658630446	1	1	0.046628430692622	0	0	1	0	0
18	chr18:25502209-25502380::F3_0	chr18:25502209-25502380::F3_17	-0.345850987666677	-0.542901532379469	-0.352159916459781	-0.393709576344879	-0.0907447505445369	-0.256098206160855	0.064296767990474	0.182836038183769	-0.408655503212701	-0.0249275376327872	0.0194043574680736	0.0493735071781598	0	0	-0.383727965579914	1	0	0	0	0
19	chr3:34053580-34053751::F1_0	chr3:34053580-34053751::F1_17	-0.0314831562656889	0.054515856645473	0.105352155385522	0.111570444803139	0.0749706043269568	0.158852732485957	-0.0772806688552046	0.12697816965303	0.0599888251421113	0.0708802094026848	0.867136655706599	0.90410191783719	0	0	-0.0108913842605735	0	0	0	0	0
20	chr6:1641825-1641996::F3_0	chr6:1641825-1641996::F3_17	-0.138679583175539	-0.053134026636813	0.00242058924711188	-0.0383199179736486	-0.196572381490509	-0.0769177051235775	0.0427933610983407	-0.0576138110709759	-0.0569282346347222	-0.0720776341466804	0.802398237823381	0.854250242837088	0	0	0.0151493995119582	0	0	0	0	0
21	chr22:28309106-28309277::F1_0	chr22:28309106-28309277::F1_17	-0.320129181085858	-0.0660413742416092	0.598958722861358	0.477500418673363	0.486858524836732	0.784453966088885	0.372744690308179	0.322691075771815	0.172572146551813	0.491687064251403	0.253499934710462	0.356492309400325	1	0	-0.31911491769959	0	0	1	0	0
22	chr12:48246249-48246420::F3_0	chr12:48246249-48246420::F3_17	0.118272206989046	0.164967727147572	0.148000562903642	-0.113509222118694	0.041475151839739	0.113969699468615	-0.2532575783227	0.125245476920464	0.0794328187303915	0.0068581874765295	0.535880240654621	0.632753529586231	0	0	0.072574631253862	0	0	0	0	0
23	chr18:25658885-25659056::F2_0	chr18:25658885-25659056::F2_17	-0.217294708378281	-0.200303503803237	-0.110253934469885	-0.16916151215005	0.0359313355631926	0.00526025656348699	0.100290587059962	-0.492624911104274	-0.174253414700363	-0.0877856829794081	0.574135894440322	0.665331347512559	0	0	-0.0864677317209549	0	0	0	0	0
24	chr4:122612090-122612261::F3_0	chr4:122612090-122612261::F3_17	0.124922965609311	0.00176834512013285	0.348085807591879	0.0689678253045769	0.185518964181785	-0.116114906517644	0.0577510664298565	-0.10247144593524	0.135936235906475	0.00617091953968938	0.257732844664662	0.361255428825601	0	1	0.129765316366786	0	0	1	0	0
25	chr1:74891993-74892164::F2_0	chr1:74891993-74892164::F2_17	0.327784144481199	-0.0808105441666455	0.150413479503682	0.286043859293232	0.274420250293234	-0.133952763049659	-0.380163303055244	-0.211727191808883	0.170857734777867	-0.112855751905138	0.147082023873783	0.234925027775386	0	1	0.283713486683005	0	0	1	0	0
26	chr20:49530618-49530789::F2_0	chr20:49530618-49530789::F2_17	-1.19195240357387	-1.32812064120407	-1.28492597321231	-1.69770108748715	-0.204371474210701	0.106140660766754	-0.219291990998025	-0.267514623014493	-1.37567502636935	-0.146259356864116	0.000171809587567744	0.00196273010324303	0	0	-1.22941566950523	1	1	0	0	1
27	chr3:82149507-82149678::F1_0	chr3:82149507-82149678::F1_17	-0.361971515727655	-0.233344983573162	-0.316316495524093	-0.203418852202397	-0.337738733504371	-0.315714820554985	-0.304800752361234	-0.139744406208693	-0.278762961756827	-0.274499678157321	0.944228887963357	0.960842885992038	0	0	-0.00426328359950601	0	0	0	0	0
28	chr11:77801676-77801847::F2_0	chr11:77801676-77801847::F2_17	-0.027942418161085	-0.177688091343009	-0.360163423487814	-0.125955289155279	-0.213879391716853	-0.274247582323282	-0.16094853394563	-0.322678684236972	-0.172937305536797	-0.242938548055684	0.416090968582203	0.523959414281785	0	0	0.070001242518887	0	0	0	0	0
29	chr9:12973065-12973236::F2_0	chr9:12973065-12973236::F2_17	-0.400813626557789	-0.390832566221622	-0.405348489452258	-0.0428510597477771	-0.165125931295443	-0.86561180311818	-0.682794399239791	-0.315402665056348	-0.309961435494862	-0.50723369967744	0.337004993595954	0.443062212750352	0	0	0.197272264182578	0	0	0	0	0
30	chr8:134807070-134807241::F3_0	chr8:134807070-134807241::F3_17	0.511279656068265	0.413169856931698	0.263838077924558	0.292652959291935	0.816904290708949	0.0863278759573687	0.618606526180193	0.219054156134253	0.370235137554114	0.435223212245191	0.737272519751028	0.805775005838131	1	1	-0.064988074691077	0	0	1	0	0
31	chr6:53902347-53902518::F2_0	chr6:53902347-53902518::F2_17	-0.459991905771615	0.0145782840130762	-0.711241142395272	-0.331033377226191	-0.563970049657553	-1.0562605288411	-0.651990914498944	-0.988777732169284	-0.371922035345	-0.81524980629172	0.0643770751142475	0.12341903350632	0	0	0.44332777094672	0	0	0	0	0
32	chr6:39745147-39745318::F2_0	chr6:39745147-39745318::F2_17	0.035968167892996	0.208505817162463	0.0630240723073278	0.123566735088976	-0.989386463498018	-0.742722051488446	-1.18046775481938	-1.03165203747761	0.107766198112941	-0.986057076820863	0.000360347856455757	0.00316558749848475	0	1	1.0938232749338	1	2	1	2	2
33	chr4:186070611-186070782::F2_0	chr4:186070611-186070782::F2_17	-0.0313317652115104	-0.0757007037185926	-0.178108265742299	-0.019022510251384	-0.0255528666071979	-0.0472260419085118	-0.025194499204739	-0.110359758103534	-0.0760408112309465	-0.0520832914559957	0.588986959729464	0.6775912972271	0	0	-0.0239575197749508	0	0	0	0	0
34	chr3:34053695-34053866::F2_0	chr3:34053695-34053866::F2_17	-0.182717214874756	0.108675997884547	-0.0175891905054659	0.0887689248876571	-0.00606926800410116	0.0309708834896052	0.462947040778943	0.139993486507651	-0.000715370652004451	0.156960535693025	0.264928230535733	0.368641988955987	0	0	-0.157675906345029	0	0	0	0	0
35	chr5:38695612-38695783::F1_0	chr5:38695612-38695783::F1_17	-0.242776103585751	-0.179671751030417	-0.326238570891086	-0.339078336472709	-0.755168677131773	-0.470108010689304	-1.0423146747016	-0.315684045535334	-0.271941190494991	-0.645818852014503	0.0993562459127699	0.172706912118879	0	0	0.373877661519512	0	0	0	0	0
36	chr2:96917548-96917719::F2_0	chr2:96917548-96917719::F2_17	0.197124258735508	0.0543171768417908	0.163569755785174	0.207388928326923	0.291952379446323	0.349441373050347	0.387273645972	0.360104293797121	0.155600029922349	0.347192923066448	0.00576355557864262	0.0200496620129222	1	1	-0.191592893144099	1	0	1	0	0
37	chr16:89545152-89545323::F1_0	chr16:89545152-89545323::F1_17	-0.280920351223178	-0.276412460920635	-0.0786893200132213	0.239090375891724	-0.231404399534914	-0.0181451154116424	0.104941376445961	0.042285845140259	-0.0992329390663276	-0.0255805733400841	0.627496926581836	0.710992435996399	0	0	-0.0736523657262435	0	0	0	0	0
38	chr9:101837704-101837875::F2_0	chr9:101837704-101837875::F2_17	0.163932103343367	0.325877158866943	0.313079285866031	0.0482968399766997	0.190075177246458	0.390326707939168	-0.189151101405026	0.145964936313408	0.21279634701326	0.134303930023502	0.593605491487611	0.681492491467993	0	1	0.078492416989758	0	0	1	0	0
39	chr1:41616651-41616822::F1_0	chr1:41616651-41616822::F1_17	-0.436755087749772	-0.34192958699376	-0.189129832824808	-0.438963845099722	-0.0860315796709377	-0.136777501840535	-0.0693192805758799	0.15655090351997	-0.351694588167015	-0.0338943646418456	0.0112252480731861	0.0325614301475074	0	0	-0.317800223525169	1	0	0	0	0
40	chr10:3542555-3542726::F1_0	chr10:3542555-3542726::F1_17	-0.121685880846519	0.0225538867797275	0.0227261752910994	-0.111297624425786	0.216848725133563	-0.032309762416851	0.542971972417475	0.151137132468017	-0.0469258608003695	0.219662016900551	0.109156032649712	0.186472090237293	1	0	-0.266587877700921	0	0	1	0	0
41	chr14:33062688-33062859::F3_0	chr14:33062688-33062859::F3_17	-0.363822969360812	-0.379459101661344	-0.160128999560963	-0.399093951144102	-0.241077640682269	0.0759296719371615	0.00901640165980946	-0.137704571495965	-0.325626255431805	-0.0734590346453158	0.033892671447621	0.0756927240053064	0	0	-0.252167220786489	0	0	0	0	0
42	chr11:13628333-13628504::F2_0	chr11:13628333-13628504::F2_17	-0.137115051071044	-0.09583392792336	-0.00907653580796325	0.0410231545116766	-1.47813109383261	-1.47043811898971	-1.53943464980273	-1.87727031880865	-0.0502505900726727	-1.59131854535842	0.000119589626135499	0.00159606154880839	0	0	1.54106795528575	1	2	0	0	2
43	chr4:17273756-17273927::F1_0	chr4:17273756-17273927::F1_17	0.0356603008396505	0.0369037844226684	0.284369324028335	0.145482794328291	-0.707301305884308	-0.177556788063459	-0.909949523886735	-0.431455304021581	0.125604050904736	-0.556565730464021	0.0178117756500608	0.0462539655795779	0	1	0.682169781368757	1	2	1	2	2
44	chr1:6732815-6732986::F3_0	chr1:6732815-6732986::F3_17	0.190775520912111	0.0856756394510797	0.0476438087908867	0.208889181656223	0.119792028098992	0.0898023627915411	0.422328835144449	0.206718727543866	0.133246037702575	0.209660488394712	0.412846150127624	0.520700096662555	1	1	-0.076414450692137	0	0	1	0	0
45	chr18:25502095-25502266::F2_0	chr18:25502095-25502266::F2_17	-0.13962250173851	0.0711245806904373	0.0481074378463412	-0.011697311315998	0.0806495646992057	-0.247809997171699	-0.000894094722165805	0.0737211532423051	-0.00802194862943238	-0.0235833434880885	0.869981773943198	0.906727765896872	0	0	0.0155613948586561	0	0	0	0	0
46	chr4:74152602-74152773::F1_0	chr4:74152602-74152773::F1_17	0.0878564273524099	0.280295608278674	0.0692828371383043	0.114336318288827	-0.132928338548252	-0.360493680801957	-0.244664069498804	-0.530620141992225	0.137942797764554	-0.31717655771031	0.00629069875534359	0.0213223195907617	0	1	0.455119355474864	1	0	1	0	0
47	chr3:135789804-135789975::F1_0	chr3:135789804-135789975::F1_17	-0.342224225894919	-0.372805210424686	-0.36140856270806	-0.359681322481665	-0.692663116372426	-0.996915534157532	-0.836731998947697	-0.929285152078933	-0.359029830377332	-0.863898950389147	0.00437999589990158	0.0163535556397132	0	0	0.504869120011815	1	0	0	0	0
48	chr6:39745032-39745203::F1_0	chr6:39745032-39745203::F1_17	0.040160889903927	-0.0999493470391563	-0.107954884188225	-0.0630521673388759	-0.527086795747084	-0.15967318184347	-0.282470726727774	-0.127641165400335	-0.0576988771655826	-0.274217967429666	0.0920098105428362	0.162894919685531	0	0	0.216519090264083	0	0	0	0	0
49	chr16:51046417-51046588::F2_0	chr16:51046417-51046588::F2_17	0.59212850421162	0.489001735774172	0.648240696989977	0.506474343698793	0.108062790981456	-0.000234995059951907	0.0465329262570413	0.207872015458123	0.558961320168641	0.0905581844091671	0.000237703334916093	0.00248069345010178	0	1	0.468403135759474	1	0	1	0	0
50	chr14:45535168-45535339::F2_0	chr14:45535168-45535339::F2_17	-0.509189872348679	-0.658233646887165	-0.529533743589721	-0.51990606347045	0.508943307990564	0.38185004155325	0.293106883810236	0.522463477460584	-0.554215831574004	0.426590927703658	1.95886531822493e-05	0.000604201124821378	1	0	-0.980806759277662	1	1	1	1	1
51	chr12:46849754-46849925::F3_0	chr12:46849754-46849925::F3_17	0.548858865828875	0.612977351433295	0.513682313917915	0.549318316587442	0.114124724334201	-0.266758206302017	-0.208901730537936	-0.137983122114628	0.556209211941882	-0.124879583655095	0.00279060450238797	0.011836085712191	0	1	0.681088795596977	1	2	1	2	2
52	chr3:141549370-141549541::F1_0	chr3:141549370-141549541::F1_17	-0.0434051742909335	-0.0518359964639076	0.0147157171661702	-0.202431535587859	0.186495932022116	0.383962336958185	0.484592657083165	0.387745393785393	-0.0707392472941325	0.360699079962215	0.00190331115619674	0.00922898125694699	1	0	-0.431438327256348	1	0	1	0	0
53	chr22:28309335-28309506::F3_0	chr22:28309335-28309506::F3_17	0.07029412663855	-0.278869834405023	-0.0617594411989488	0.0622399703051637	0.225068052135423	-0.144785136073864	0.193534801868541	-0.081759615853783	-0.0520237946650645	0.0480145255190792	0.453062218166955	0.56022303680689	0	0	-0.100038320184144	0	0	0	0	0
54	chr8:30032324-30032495::F2_0	chr8:30032324-30032495::F2_17	-0.339204564222568	-0.297530516653669	-0.466358138517716	-0.171038238309073	-0.185026198039835	-0.188587022706243	-0.321741622064356	-0.387684558284888	-0.318532864425757	-0.270759850273831	0.568162141016465	0.659923892661802	0	0	-0.047773014151926	0	0	0	0	0
55	chr3:141549485-141549656::F2_0	chr3:141549485-141549656::F2_17	0.0332250412130409	0.141140877480707	0.00282127235502015	0.137812917975722	-0.209909079764565	-0.161504915293554	-0.28506617408002	-0.0469628800541689	0.0787500272561225	-0.175860762298077	0.00746064786497983	0.0241948113004486	0	1	0.2546107895542	1	0	1	0	0
56	chr4:148344574-148344745::F3_0	chr4:148344574-148344745::F3_17	-0.348828081262029	0.167280433516901	-0.284893673809213	-0.259732258087676	-1.28613944570447	-0.41283767278734	-0.891774671299749	-0.324799880570938	-0.181543394910504	-0.728887917590624	0.0880975386345441	0.157424375442224	0	0	0.54734452268012	0	0	0	0	0
57	chr6:21460108-21460279::F3_0	chr6:21460108-21460279::F3_17	-0.17617758248773	-0.0833488185230235	-0.0902089233117905	-0.0484296893025167	0.346734715584769	-0.226773277826832	-0.0653164249794975	-0.165964057468824	-0.0995412534062652	-0.0278297611725961	0.621958505834887	0.705869506213265	0	0	-0.0717114922336691	0	0	0	0	0
58	chr2:84620694-84620865::F2_0	chr2:84620694-84620865::F2_17	-0.280187512502566	-0.223627520773175	-0.18894383109929	-0.277491356886958	0.677287187823122	0.666557338497647	0.701956004016301	0.683472228311666	-0.242562555315497	0.682318189662184	5.79427906276171e-06	0.0003784686747818	1	0	-0.924880744977681	1	1	1	1	1
59	chr2:72070451-72070622::F1_0	chr2:72070451-72070622::F1_17	-0.762529787263583	-0.667404868919841	-0.518112482630305	-0.535654614156571	-0.0801929284167532	-0.157806201397612	0.0565475123250897	-0.187947398481274	-0.620925438242575	-0.0923497539926374	0.000565722745757989	0.00419344817683358	0	0	-0.528575684249938	1	0	0	0	0
60	chr7:47521725-47521896::F1_0	chr7:47521725-47521896::F1_17	-0.0274710366184327	0.177655936383989	-0.0846093037259408	0.108982508797564	-0.338060404157483	-0.447217929714344	-0.585385482682773	-0.755818820954272	0.0436395262092949	-0.531620659377218	0.00278291089712274	0.0118396331807092	0	0	0.575260185586513	1	0	0	0	0
61	chr9:101837589-101837760::F1_0	chr9:101837589-101837760::F1_17	-0.0891976065128341	-0.168687372767724	-0.204078966997083	-0.0719886346021667	0.148354216875396	-0.0312572389496407	-0.399135701888913	0.0333660247950642	-0.133488145219952	-0.0621681747920234	0.596409153407832	0.683439343595518	0	0	-0.0713199704279286	0	0	0	0	0
62	chr3:111454439-111454610::F3_0	chr3:111454439-111454610::F3_17	0.0537730220530899	-0.377081460649173	-0.37609072332303	-0.200222122250621	0.201747437494996	0.0211617316899258	0.314244534606554	0.03708089107506	-0.224905321042434	0.143558648716634	0.0284313930837276	0.0662404928245303	0	0	-0.368463969759068	0	0	0	0	0
63	chr2:8749815-8749986::F3_0	chr2:8749815-8749986::F3_17	-0.249444250753421	-0.180645996181774	-0.0196799845750085	-0.220171442889887	0.702550654440602	0.0973203218136812	0.560237864641583	0.558185399715286	-0.167485418600023	0.479573560152788	0.0109340641046182	0.0318499076121932	1	0	-0.647058978752811	1	1	1	1	1
64	chr7:68802273-68802444::F3_0	chr7:68802273-68802444::F3_17	-0.113242361256525	-0.17880436785555	-0.128040142860827	-0.222866001955486	-0.682615616457911	-0.378919884088188	-1.12683817252227	-0.6666662598948	-0.160738218482097	-0.713759983240792	0.0354371134611047	0.0784477089059224	0	0	0.553021764758695	0	0	0	0	0
65	chr6:6972700-6972871::F1_0	chr6:6972700-6972871::F1_17	-0.0651310803106625	-0.116383302896851	-0.195073103370473	-0.207348417805282	-0.242286796727112	-0.689247445656796	-0.258058987092161	-0.852387043073017	-0.145983976095817	-0.510495068137272	0.0961233782473021	0.168352364677925	0	0	0.364511092041455	0	0	0	0	0
66	chr20:57024751-57024922::F1_0	chr20:57024751-57024922::F1_17	-0.117804521978091	-0.240831442604259	0.117614895411854	-0.269733908925002	-0.720614346130029	-0.928506534473643	-0.908643870918579	-0.51725816394276	-0.127688744523874	-0.768755728866253	0.00271732504031941	0.0116859710486858	0	0	0.641066984342379	1	2	0	0	2
67	chr21:39008862-39009033::F2_0	chr21:39008862-39009033::F2_17	-0.101958333709097	-0.259461030787773	-0.181993490190024	-0.0477101080598947	0.634980905479892	0.473088621563064	0.478376492261302	0.846013224085133	-0.147780740686697	0.608114810847348	0.000932427590629266	0.00583634496411915	1	0	-0.755895551534045	1	1	1	1	1
68	chr10:4111673-4111844::F1_0	chr10:4111673-4111844::F1_17	0.0265038723494432	0.131428755255952	0.171126512947478	0.0605174079206315	-0.116555302808048	0.278287473176248	0.0389065160131461	0.15980869233684	0.0973941371183762	0.0901118446795465	0.939926022024212	0.958572607325207	0	1	0.0072822924388297	0	0	1	0	0
69	chr2:47925916-47926087::F2_0	chr2:47925916-47926087::F2_17	0.74518502641261	0.662672791151871	0.751090154108381	0.688906344769836	0.16011335767872	0.351884060628817	0.437108227475833	0.371529496518035	0.711963579110675	0.330158785575351	0.00458376325199948	0.0169096701495688	1	1	0.381804793535324	1	0	1	0	0
70	chr10:35047312-35047483::F1_0	chr10:35047312-35047483::F1_17	-1.0347699629505	-0.411849998029789	-0.891313920028044	-1.06425037137268	0.0578927761868348	0.123154972017931	0.217570624310562	-0.0884341099685177	-0.850546063095253	0.0775460656367025	0.00463402740661253	0.0170497814191602	0	0	-0.928092128731956	1	1	0	0	1
71	chr2:30503529-30503700::F1_0	chr2:30503529-30503700::F1_17	0.0954681284003829	0.100247192202623	0.148524987966553	0.181508598832728	0.0921789441125914	0.0243118445358174	0.0730985405761921	-0.0853281587482634	0.131437226850572	0.0260652926190844	0.0711046496710508	0.133324219849265	0	1	0.105371934231488	0	0	1	0	0
72	chr15:96808404-96808575::F3_0	chr15:96808404-96808575::F3_17	0.125684032078426	0.085291503729978	0.531356930326757	0.315495778128874	0.671583247778034	0.419981062563054	0.154004951599479	0.275830424875853	0.264457061066009	0.380349921704105	0.472200152696354	0.577584324249869	1	1	-0.115892860638096	0	0	1	0	0
73	chr4:148231410-148231581::F1_0	chr4:148231410-148231581::F1_17	-0.73963399024575	-0.530700250385869	-0.633785445074151	-0.26744741086406	-0.0660298611384572	0.0989369140709993	-0.131350481877085	-0.277943676162178	-0.542891774142457	-0.0940967762766802	0.014041173911418	0.0384211915013271	0	0	-0.448794997865777	1	0	0	0	0
74	chr3:135789919-135790090::F2_0	chr3:135789919-135790090::F2_17	-0.110216156491085	-0.101327567201283	0.0132439017869331	-0.172821850949576	0.263891128910448	0.181825263073926	0.28906202504972	0.264430168088226	-0.0927804182137527	0.24980214628058	0.000679507104992465	0.00476341344307849	1	0	-0.342582564494333	1	0	1	0	0
75	chr6:1884797-1884968::F3_0	chr6:1884797-1884968::F3_17	-1.31245761795472	-1.18528364813109	-1.46523861981821	-1.33382564196287	-0.485405748725853	-0.847697259460404	-1.024455707323	-0.632394445591403	-1.32420138196672	-0.747488290275165	0.0099504644180953	0.0297335729005733	0	0	-0.576713091691555	1	0	0	0	0
76	chr7:93870890-93871061::F2_0	chr7:93870890-93871061::F2_17	-3.40973782306105	-2.85445156548123	-3.06220150827447	-2.99234830164078	-0.284320789040743	-0.40223525228059	-0.453656876174683	-0.726017115032029	-3.07968479961438	-0.466557508132011	3.78208817882706e-06	0.000328096149513247	0	0	-2.61312729148237	1	1	0	0	1
77	chr7:68802159-68802330::F2_0	chr7:68802159-68802330::F2_17	0.202485858191703	0.00694285555832849	-0.161587768333956	0.0996650820722932	0.284814559750618	0.30245230710363	-0.0601010112626882	0.388983706327244	0.0368765068720922	0.229037390479701	0.179815147821198	0.273816154882965	1	1	-0.192160883607609	0	0	1	0	0
78	chr14:59536478-59536649::F3_0	chr14:59536478-59536649::F3_17	-0.858158015756116	-0.715478413307604	-0.88927093191901	-0.704624570716712	-0.0972753009442995	0.0626568265587481	0.109312965930872	-0.100052058352119	-0.79188298292486	-0.0063393917016996	3.95932980811024e-05	0.000865440909237325	0	0	-0.78554359122316	1	1	0	0	1
79	chr20:49039786-49039957::F2_0	chr20:49039786-49039957::F2_17	0.334860541385302	0.270899560232783	0.485571267996972	0.344838565473866	-0.859769964969939	-0.564064438817206	-0.920407207549327	-0.528577758366822	0.359042483772231	-0.718204842425823	0.00049320592211794	0.00383512504145491	0	1	1.07724732619805	1	2	1	2	2
80	chr7:133380991-133381162::F2_0	chr7:133380991-133381162::F2_17	-0.0258733946734257	0.0389204306561714	0.278643546869787	0.100281531616499	0.152736936562373	-0.0979676410346207	0.0508684156554102	0.209422043118218	0.0979930286172579	0.0787649385753451	0.844685608144712	0.886520698756038	0	1	0.0192280900419128	0	0	1	0	0
81	chr12:124515336-124515507::F3_0	chr12:124515336-124515507::F3_17	-0.0161647029731081	-0.00220226695466523	0.076111812584238	-0.0609418984446852	0.101655588040972	0.0992701667218287	-0.240108252354398	0.208924701808454	-0.000799263947055131	0.0424355510542142	0.695432837543945	0.770667288232332	0	0	-0.0432348150012693	0	0	0	0	0
82	chr21:40297902-40298073::F1_0	chr21:40297902-40298073::F1_17	-0.106143978131967	0.0157679515190812	0.0301719150609632	-0.279955113363058	-0.0254534603560541	0.0489623747633844	-0.0216213686936923	0.0513959037804453	-0.0850398062287452	0.0133208623735208	0.268071546152565	0.37208330605976	0	0	-0.098360668602266	0	0	0	0	0
83	chr9:78979950-78980121::F1_0	chr9:78979950-78980121::F1_17	-0.556123469142754	-0.620335680336109	-0.336986045965629	-0.360673063021833	0.0170477024854588	0.410992859526217	0.0544991684412313	0.170903732611658	-0.468529564616581	0.163360865766141	0.0016717485057337	0.00843777063984864	0	0	-0.631890430382722	1	1	0	0	1
84	chr12:33136410-33136581::F2_0	chr12:33136410-33136581::F2_17	0.41984635066335	0.286613076620599	0.294033694094068	0.254564947390475	0.322301591178467	0.263769124004049	0.581819918307562	0.350148951182022	0.313764517192123	0.379509896168025	0.445465955671257	0.552923538092291	1	1	-0.065745378975902	0	0	1	0	0
