KO	fold	active	final_sig
chr20:1396807-1396978::F3_0	-0.496119932	1	0
chr6:1641711-1641882::F2_0	0.42179123	1	0
chr4:148231525-148231696::F2_0	0.816774804	1	2
chr22:31998452-31998623::F3_0	-0.50358933	0	0
chr10:18571039-18571210::F1_0	-0.194300038	0	0
chr4:32027676-32027847::F1_0	-0.34256677	0	0
chr6:53902232-53902403::F1_0	-0.392422771	1	0
chr15:96666336-96666507::F2_0	0.145854982	0	0
chr7:79917875-79918046::F2_0	0.898785431	0	0
chr7:47106937-47107108::F2_0	-0.318127545	1	0
chr8:134806841-134807012::F1_0	0.088208599	0	0
chr22:31998223-31998394::F1_0	0.349860166	0	0
chr12:51013234-51013405::F3_0	0.588159587	1	2
chr5:123708144-123708315::F1_0	0.170403949	0	0
chr2:5593851-5594022::F3_0	0.257793868	0	0
chr4:77723812-77723983::F2_0	-0.590330256	1	1
chr1:74891878-74892049::F1_0	0.192321151	0	0
chr4:122611861-122612032::F1_0	0.189305518	0	0
chr8:41676296-41676467::F2_0	-0.089348242	1	0
chr16:10695761-10695932::F2_0	0.621621884	1	2
chr6:1641596-1641767::F1_0	0.092201416	0	0
chr4:53792045-53792216::F3_0	-0.072219013	0	0
chr2:30503644-30503815::F2_0	-0.387557151	0	0
chr13:82576764-82576935::F1_0	-0.025858174	0	0
chr3:133207876-133208047::F2_0	-0.019264697	1	0
chr1:243368475-243368646::F3_0	0.037978088	0	0
chr11:85885091-85885262::F1_0	-0.041462067	0	0
chr2:131834375-131834546::F1_0	-0.791161791	0	0
chr2:84620579-84620750::F1_0	-0.336819897	0	0
chr1:147206642-147206813::F2_0	0.028552998	0	0
chr4:79390168-79390339::F3_0	-1.472719611	1	1
chr7:68802044-68802215::F1_0	0.106746876	1	0
chr3:69841112-69841283::F2_0	0.075792943	0	0
chr7:47106822-47106993::F1_0	-0.209548776	0	0
chr4:23949589-23949760::F2_0	-0.002052597	1	0
chr11:77801561-77801732::F1_0	0.792267235	1	2
chr6:91463544-91463715::F1_0	0.344397343	0	0
chr4:79389939-79390110::F1_0	-0.050486035	0	0
chr4:186070496-186070667::F1_0	0.143561664	0	0
chr22:31998338-31998509::F2_0	-0.181790597	1	0
chr15:99232807-99232978::F1_0	0.219169181	0	0
chr2:47926030-47926201::F3_0	0.048980677	0	0
chr11:16955358-16955529::F1_0	-0.23226722	1	0
chr8:134806956-134807127::F2_0	0.519005042	0	0
chr7:93870775-93870946::F1_0	0.4705852	1	0
chr1:147221077-147221248::F1_0	0.112906025	0	0
chr7:94682215-94682386::F2_0	0.058300972	0	0
chr10:3542670-3542841::F2_0	-0.151336824	1	0
chr3:4873111-4873282::F3_0	-0.238416042	0	0
chr6:113846510-113846681::F3_0	0.445981732	1	0
chr7:47521840-47522011::F2_0	-0.438982251	1	0
chr1:147206527-147206698::F1_0	-0.763224155	0	0
chr6:118857661-118857832::F1_0	0.128977666	0	0
chr10:35047427-35047598::F2_0	-0.337574306	0	0
chr4:24009824-24009995::F3_0	-0.156439776	0	0
chr14:33030785-33030956::F2_0	0.710089148	1	2
chr1:243368361-243368532::F2_0	0.641801007	1	2
chr3:133207761-133207932::F1_0	0.702166037	0	0
chr11:13628447-13628618::F3_0	0.702252849	1	2
chr2:8749586-8749757::F1_0	0.376590979	0	0
chr4:32027905-32028076::F3_0	0.45726005	0	0
chr20:49530503-49530674::F1_0	-0.14270882	0	0
chr6:113846396-113846567::F2_0	0.120634022	0	0
chr9:11136051-11136222::F2_0	0.3263738	1	0
chr8:141948233-141948404::F2_0	0.101553916	0	0
chr16:24680897-24681068::F2_0	0.109836863	0	0
chr18:25501980-25502151::F1_0	-0.655452206	1	1
chr7:47107051-47107222::F3_0	-0.156598732	1	0
chr13:39443182-39443353::F3_0	0.193984721	0	0
chr16:10695875-10696046::F3_0	-0.442892385	0	0
chr4:174412266-174412437::F1_0	0.271107074	1	0
chr1:101669574-101669745::F1_0	0.087414833	0	0
chr7:94682100-94682271::F1_0	0.16822241	0	0
chr5:140367805-140367976::F3_0	0.061780645	1	0
chr4:38062593-38062764::F3_0	0.270143861	0	0
chr13:82576993-82577164::F3_0	0.050588694	1	0
chr7:133381105-133381276::F3_0	0.332934428	1	0
chr10:4111788-4111959::F2_0	-0.256047774	1	0
chr7:133380876-133381047::F1_0	0.054506634	0	0
chr6:1884683-1884854::F2_0	-0.062092239	1	0
chr1:147221192-147221363::F2_0	0.104022935	0	0
chr13:39332360-39332531::F1_0	0.128400007	1	0
chr5:140367691-140367862::F2_0	0.306058559	1	0
chr13:39443068-39443239::F2_0	0.07660413	0	0
chr4:23949474-23949645::F1_0	-0.477402464	1	0
chr4:174412381-174412552::F2_0	0.206533357	1	0
chr11:20009098-20009269::F2_0	0.079236611	1	0
chr9:71888266-71888437::F3_0	-0.244092746	1	0
chr3:82149622-82149793::F2_0	-0.844486765	1	1
chr21:40298131-40298302::F3_0	-0.180286802	0	0
chr14:33062574-33062745::F2_0	-0.083205965	0	0
chr15:30133220-30133391::F2_0	0.016815008	1	0
chr16:10695646-10695817::F1_0	1.249378819	0	0
chr14:45535282-45535453::F3_0	0.257213749	1	0
chr7:46552396-46552567::F1_0	0.493143737	1	0
chr13:39442953-39443124::F1_0	-1.54537415	1	1
chr15:99232922-99233093::F2_0	-0.051441321	0	0
chr21:39008976-39009147::F3_0	-0.14898641	0	0
chr8:41676410-41676581::F3_0	-0.350203507	1	0
chr20:1396578-1396749::F1_0	1.91228491	0	0
chr9:137494691-137494862::F3_0	-0.048827922	0	0
chr11:20008983-20009154::F1_0	-1.344086437	0	0
chr22:28309221-28309392::F2_0	-1.123695075	1	1
chr11:16955473-16955644::F2_0	-0.063017326	0	0
chr9:78980179-78980350::F3_0	0.097400885	0	0
chr18:10040660-10040831::F1_0	-1.459826586	1	1
chr5:38695727-38695898::F2_0	-0.296877991	1	0
chr9:137494577-137494748::F2_0	-0.122353594	1	0
chr12:46849640-46849811::F2_0	0.15947847	0	0
chr6:91463773-91463944::F3_0	-0.116324107	0	0
chr10:3542784-3542955::F3_0	-0.164290327	0	0
chr11:13628218-13628389::F1_0	0.232740212	1	0
chr21:40298017-40298188::F2_0	-0.088899529	0	0
chr4:24009710-24009881::F2_0	-0.159071669	1	0
chr16:89545267-89545438::F2_0	0.288859778	0	0
chr14:33062459-33062630::F1_0	0.076206859	0	0
chr2:72070680-72070851::F3_0	-0.054602766	1	0
chr6:6972815-6972986::F2_0	-0.345534439	0	0
chr4:77587008-77587179::F2_0	0.054455867	1	0
chr9:71888152-71888323::F2_0	-0.466935831	1	0
chr2:5593622-5593793::F1_0	-0.455977815	0	0
chr2:72070566-72070737::F2_0	-0.58604521	1	1
chr12:51013120-51013291::F2_0	-0.795888212	1	1
chr18:22819941-22820112::F3_0	-0.15980378	0	0
chr6:21459879-21460050::F1_0	0.032102758	0	0
chr10:18571268-18571439::F3_0	-0.03796562	0	0
chr4:77723697-77723868::F1_0	0.237887329	0	0
chr2:30503758-30503929::F3_0	0.028338511	0	0
chr6:113673397-113673568::F1_0	-0.16381313	1	0
chr4:53791931-53792102::F2_0	-0.078417155	0	0
chr10:18571154-18571325::F2_0	0.417759719	1	0
chr4:90630040-90630211::F2_0	0.173090062	1	0
chr14:45535053-45535224::F1_0	-0.538486179	0	0
chr13:39332589-39332760::F3_0	0.089314772	0	0
chr4:148344345-148344516::F1_0	0.611547722	0	0
chr4:90630154-90630325::F3_0	-0.161353102	0	0
chr14:59536364-59536535::F2_0	0.268386098	0	0
chr5:123932746-123932917::F3_0	-0.291814516	1	0
chr10:85437800-85437971::F3_0	0.345569012	0	0
chr5:123708259-123708430::F2_0	0.023494462	0	0
chr4:24009595-24009766::F1_0	0.500542937	1	0
chr9:12972950-12973121::F1_0	0.159828667	1	0
chr6:6972929-6973100::F3_0	-0.337208373	1	0
chr3:111454210-111454381::F1_0	0.074952387	0	0
chr9:101837818-101837989::F3_0	0.106728288	1	0
chr7:46552511-46552682::F2_0	-0.012958779	0	0
chr2:131834490-131834661::F2_0	-0.504961841	0	0
chr4:53791816-53791987::F1_0	0.411978558	1	0
chr15:99233036-99233207::F3_0	0.344106833	0	0
chr12:46849525-46849696::F1_0	0.136046728	0	0
chr3:69841226-69841397::F3_0	-0.288338412	0	0
chr1:120557384-120557555::F3_0	0.476465685	0	0
chr6:113673512-113673683::F2_0	0.111924309	0	0
chr6:91463659-91463830::F2_0	-0.007034227	0	0
chr18:19791658-19791829::F2_0	-0.092691812	0	0
chr3:69840997-69841168::F1_0	1.907616949	0	0
chr6:39745261-39745432::F3_0	0.296555037	0	0
chr7:47521954-47522125::F3_0	0.087048861	0	0
chr9:71888037-71888208::F1_0	0.356919782	0	0
chr4:17273871-17274042::F2_0	0.810783477	1	2
chr7:46552625-46552796::F3_0	-0.127225192	1	0
chr1:101669689-101669860::F2_0	0.09733291	1	0
chr2:131834604-131834775::F3_0	-1.091970513	1	1
chr2:5593737-5593908::F2_0	-0.118037496	0	0
chr4:38062364-38062535::F1_0	0.162762555	0	0
chr18:22819712-22819883::F1_0	-0.202839987	0	0
chr10:85437571-85437742::F1_0	-0.652231754	0	0
chr5:38695841-38696012::F3_0	-0.296272801	1	0
chr1:41616880-41617051::F3_0	1.268875583	0	0
chr20:49157407-49157578::F1_0	0.457336959	1	0
chr21:39008747-39008918::F1_0	0.177016636	0	0
chr1:19734400-19734571::F3_0	0.070049622	0	0
chr11:16955587-16955758::F3_0	-0.001636907	1	0
chr1:245748592-245748763::F1_0	0.36258542	1	0
chr13:111864629-111864800::F2_1	0.331023559	0	0
chr6:113673626-113673797::F3_1	-0.189883694	0	0
chr4:74152831-74153002::F3_1	0.218950517	0	0
chr12:33136295-33136466::F1_1	-0.585709389	0	0
chr7:69942307-69942478::F3_1	0.007117316	0	0
chr1:74892107-74892278::F3_1	0.033894754	0	0
chr7:79941424-79941595::F1_1	0.642061094	0	0
chr4:148231639-148231810::F3_1	0.268817123	1	0
chr11:77801790-77801961::F3_1	0.077573838	0	0
chr10:85437686-85437857::F2_1	0.283376226	1	0
chr20:49157636-49157807::F3_1	-0.411908977	1	0
chr1:41616766-41616937::F2_1	0.136022224	1	0
chr14:33030899-33031070::F3_1	0.424658905	0	0
chr1:101669803-101669974::F3_1	0.116105041	1	0
chr5:123932517-123932688::F1_1	0.266784025	0	0
chr10:4111902-4112073::F3_1	-0.388602825	1	0
chr18:25502209-25502380::F3_1	0.021019873	0	0
chr3:34053580-34053751::F1_1	-0.37666932	0	0
chr6:1641825-1641996::F3_1	0.047475508	0	0
chr22:28309106-28309277::F1_1	-0.40476185	1	0
chr12:48246249-48246420::F3_1	0.079300628	1	0
chr18:25658885-25659056::F2_1	0.000157951	0	0
chr4:122612090-122612261::F3_1	-0.045472891	0	0
chr1:74891993-74892164::F2_1	0.202769845	0	0
chr20:49530618-49530789::F2_1	0.193215134	0	0
chr20:57024980-57025151::F3_1	0.339123311	1	0
chr3:82149507-82149678::F1_1	0.094125034	0	0
chr11:77801676-77801847::F2_1	-0.165310619	0	0
chr9:12973065-12973236::F2_1	0.511180572	0	0
chr8:134807070-134807241::F3_1	-0.212146326	1	0
chr6:53902347-53902518::F2_1	0.336920297	0	0
chr6:39745147-39745318::F2_1	0.984809745	0	0
chr4:186070611-186070782::F2_1	-0.025464636	0	0
chr3:34053695-34053866::F2_1	-0.565706615	0	0
chr5:38695612-38695783::F1_1	0.620112356	0	0
chr2:96917548-96917719::F2_1	-0.321144285	1	0
chr16:89545152-89545323::F1_1	0.113688483	0	0
chr9:101837704-101837875::F2_1	0.267766468	1	0
chr1:41616651-41616822::F1_1	-0.093727676	0	0
chr10:3542555-3542726::F1_1	-1.14929687	1	1
chr14:33062688-33062859::F3_1	-0.05581728	0	0
chr11:13628333-13628504::F2_1	0.043733934	0	0
chr2:145214490-145214661::F3_1	-0.221458858	0	0
chr4:17273756-17273927::F1_1	0.564250881	0	0
chr1:6732815-6732986::F3_1	0.118910807	1	0
chr18:25502095-25502266::F2_1	0.078281476	0	0
chr4:74152602-74152773::F1_1	-0.266034619	0	0
chr3:135789804-135789975::F1_1	0.533016245	0	0
chr6:39745032-39745203::F1_1	-0.06467463	0	0
chr16:51046417-51046588::F2_1	-0.004225179	1	0
chr14:45535168-45535339::F2_1	-0.702880654	1	1
chr12:46849754-46849925::F3_1	0.107060983	0	0
chr3:141549370-141549541::F1_1	-0.493543572	1	0
chr22:28309335-28309506::F3_1	-0.129153505	0	0
chr8:30032324-30032495::F2_1	-0.018937098	0	0
chr3:141549485-141549656::F2_1	0.034897102	0	0
chr4:148344574-148344745::F3_1	0.611243241	0	0
chr6:21460108-21460279::F3_1	-0.101939421	0	0
chr2:84620694-84620865::F2_1	-0.592187253	1	1
chr2:72070451-72070622::F1_1	-0.209996086	0	0
chr7:47521725-47521896::F1_1	0.61427525	1	2
chr9:101837589-101837760::F1_1	0.150397562	1	0
chr3:111454439-111454610::F3_1	-0.642444635	0	0
chr2:8749815-8749986::F3_1	-0.329428886	1	0
chr7:68802273-68802444::F3_1	0.508516365	0	0
chr6:6972700-6972871::F1_1	0.315609929	0	0
chr20:57024751-57024922::F1_1	0.641763697	0	0
chr21:39008862-39009033::F2_1	-0.666299317	1	1
chr10:4111673-4111844::F1_1	-0.107403612	0	0
chr2:47925916-47926087::F2_1	1.377665065	1	2
chr10:35047312-35047483::F1_1	0.164110373	1	0
chr2:30503529-30503700::F1_1	-0.091364937	0	0
chr15:96808404-96808575::F3_1	-0.108820782	1	0
chr4:148231410-148231581::F1_1	-0.045134884	0	0
chr3:135789919-135790090::F2_1	0.213597115	1	0
chr6:1884797-1884968::F3_1	1.003010921	1	2
chr7:93870890-93871061::F2_1	0.414272585	0	0
chr7:68802159-68802330::F2_1	-0.178679539	1	0
chr14:59536478-59536649::F3_1	-0.440671868	0	0
chr20:49039786-49039957::F2_1	-0.284655661	0	0
chr7:133380991-133381162::F2_1	0.119371797	1	0
chr12:124515336-124515507::F3_1	-0.122917285	0	0
chr21:40297902-40298073::F1_1	-0.031793663	0	0
chr9:78979950-78980121::F1_1	-0.225124719	0	0
chr12:33136410-33136581::F2_1	0.32216345	1	0
chr4:32027791-32027962::F2_1	1.750262217	1	2
chr8:30032209-30032380::F1_1	-0.226535788	1	0
chr4:77586893-77587064::F1_1	0.052279191	1	0
chr12:33136524-33136695::F3_1	0.246706393	0	0
chr7:79941653-79941824::F3_1	-0.268375222	0	0
chr8:141948347-141948518::F3_1	0.398888425	1	0
chr15:96666221-96666392::F1_1	-0.037552924	0	0
chr1:147221306-147221477::F3_1	-0.41262225	0	0
chr9:11136165-11136336::F3_1	-0.611214663	1	1
chr4:90629925-90630096::F1_1	0.065192135	1	0
chr12:48246135-48246306::F2_1	-0.298656909	0	0
chr3:4872997-4873168::F2_1	0.158613808	1	0
chr20:49157522-49157693::F2_1	0.061407117	1	0
chr11:20009212-20009383::F3_1	-0.235690216	1	0
chr18:25658999-25659170::F3_1	0.519990134	0	0
chr3:34053809-34053980::F3_1	0.53122259	0	0
chr20:57024866-57025037::F2_1	-0.114925291	0	0
chr4:186070725-186070896::F3_1	0.87372909	0	0
chr1:19734286-19734457::F2_1	-0.153597287	0	0
chr2:96917433-96917604::F1_1	0.514492923	0	0
chr12:124515222-124515393::F2_1	0.225749463	0	0
chr14:33030670-33030841::F1_1	-0.762965727	0	0
chr2:8749701-8749872::F2_1	-0.156779702	1	0
chr9:78980065-78980236::F2_1	-0.178175191	1	0
chr1:245748821-245748992::F3_1	-0.070058199	0	0
chr7:79917760-79917931::F1_1	0.554246904	0	0
chr12:124515107-124515278::F1_1	1.247202825	1	2
chr18:25658770-25658941::F1_1	0.922658947	0	0
chr15:30133105-30133276::F1_1	-0.137588265	0	0
chr4:148344460-148344631::F2_1	-0.5185198	0	0
chr15:96808290-96808461::F2_1	-0.745904737	1	0
chr4:38062479-38062650::F2_1	-0.402072522	1	0
chr10:35047541-35047712::F3_1	0.38371544	1	0
chr1:120557270-120557441::F2_1	-0.007315966	0	0
chr3:82149736-82149907::F3_1	0.107097379	1	0
chr20:49039671-49039842::F1_1	-0.022233279	0	0
chr4:77723926-77724097::F3_1	0.322307456	1	0
chr8:30032438-30032609::F3_1	0.069413549	0	0
chr2:96917662-96917833::F3_1	-0.472232305	1	0
chr12:48246020-48246191::F1_1	0.610336791	0	0
chr16:24680782-24680953::F1_1	-0.240138967	0	0
chr15:96666450-96666621::F3_1	0.142103763	0	0
chr5:123932632-123932803::F2_1	-0.203851694	0	0
chr6:113846281-113846452::F1_1	-0.209580097	0	0
chr16:51046302-51046473::F1_1	0.354179106	0	0
chr15:30133334-30133505::F3_1	0.202931344	0	0
chr3:4872882-4873053::F1_1	-0.349403164	0	0
chr2:145214261-145214432::F1_1	-0.506144485	0	0
chr3:141549599-141549770::F3_1	0.15412593	0	0
chr2:47925801-47925972::F1_1	-0.27204936	1	0
chr7:94682329-94682500::F3_1	0.319719362	0	0
chr11:85885320-85885491::F3_1	-0.000870392	0	0
chr2:145214376-145214547::F2_1	-1.085193198	0	0
chr15:96808175-96808346::F1_1	0.654666491	0	0
chr11:85885206-85885377::F2_1	0.194994465	1	0
chr1:243368246-243368417::F1_1	-0.382855793	0	0
chr9:137494462-137494633::F1_1	0.175384604	0	0
chr4:74152717-74152888::F2_1	-0.028066278	0	0
chr18:19791543-19791714::F1_1	0.108568942	0	0
chr9:11135936-11136107::F1_1	0.823960934	1	2
chr7:79941539-79941710::F2_1	0.338402284	1	0
chr3:111454325-111454496::F2_1	0.474314613	0	0
chr1:245748707-245748878::F2_1	0.423853239	0	0
chr20:49039900-49040071::F3_1	-0.857421627	1	1
chr16:24681011-24681182::F3_1	0.465958805	0	0
chr6:1884568-1884739::F1_1	0.161666298	0	0
chr13:111864514-111864685::F1_1	-0.027105451	0	0
chr18:10040775-10040946::F2_1	0.081329701	1	0
chr3:133207990-133208161::F3_1	0.268427818	0	0
chr2:84620808-84620979::F3_1	-0.290254992	0	0
chr20:1396807-1396978::F3_1	-0.597537685	1	1
chr6:1641711-1641882::F2_1	0.386151427	1	0
chr4:148231525-148231696::F2_1	-1.71228006	0	0
chr22:31998452-31998623::F3_1	0.357821236	1	0
chr10:18571039-18571210::F1_1	-0.476154682	0	0
chr4:32027676-32027847::F1_1	-0.125916339	0	0
chr6:53902232-53902403::F1_1	0.195680824	1	0
chr15:96666336-96666507::F2_1	0.019540088	0	0
chr7:79917875-79918046::F2_1	1.095503271	0	0
chr7:47106937-47107108::F2_1	-0.689486321	1	1
chr8:134806841-134807012::F1_1	-0.059212587	0	0
chr22:31998223-31998394::F1_1	0.656522792	1	2
chr12:51013234-51013405::F3_1	0.438025253	0	0
chr5:123708144-123708315::F1_1	-0.348606208	0	0
chr2:5593851-5594022::F3_1	0.53576424	0	0
chr4:77723812-77723983::F2_1	-0.515485609	1	0
chr1:74891878-74892049::F1_1	0.197976117	0	0
chr4:122611861-122612032::F1_1	0.282668062	1	0
chr8:41676296-41676467::F2_1	0.05691672	1	0
chr16:10695761-10695932::F2_1	0.739588899	1	2
chr6:1641596-1641767::F1_1	0.371209824	1	0
chr4:53792045-53792216::F3_1	-0.272422473	0	0
chr2:30503644-30503815::F2_1	0.091151923	0	0
chr13:82576764-82576935::F1_1	-0.23376716	0	0
chr3:133207876-133208047::F2_1	0.029601966	1	0
chr1:243368475-243368646::F3_1	-0.017572022	0	0
chr11:85885091-85885262::F1_1	-0.3170514	0	0
