region	active	final_sig
chr11:112965853-112966024	0	0
chr11:113054316-113054487	0	0
chr11:114216392-114216563	1	0
chr1:11144057-11144228	1	0
chr1:111510111-111510282	0	0
chr11:116839287-116839458	0	0
chr11:116840697-116840868	1	0
chr11:116848280-116848451	0	0
chr11:116863393-116863564	0	0
chr11:116932340-116932511	0	0
chr1:111730388-111730559	0	0
chr11:117923912-117924083	1	1
chr11:118440357-118440528	1	2
chr11:118603208-118603379	1	0
chr11:118753493-118753664	0	0
chr11:118761046-118761217	1	2
chr1:111895637-111895808	0	0
chr11:119059593-119059764	1	0
chr11:119078339-119078510	1	0
chr11:119422584-119422755	0	0
chr11:119777495-119777666	0	0
chr11:119866207-119866378	0	0
chr1:111991510-111991681	0	0
chr11:120102628-120102799	0	0
chr11:12018266-12018437	0	0
chr11:12020036-12020207	1	0
chr1:11204042-11204213	0	0
chr11:122214273-122214444	0	0
chr1:112313953-112314124	0	0
chr11:123428280-123428451	0	0
chr1:112381853-112382024	0	0
chr11:124759849-124760020	1	0
chr11:125376293-125376464	1	1
chr11:126269128-126269299	0	0
chr11:126317018-126317189	0	0
chr11:126413030-126413200	1	2
chr11:126491430-126491601	0	0
chr11:126997775-126997946	1	1
chr11:127615241-127615412	1	0
chr11:1280237-1280408	0	0
chr11:12803011-12803182	1	0
chr11:1280653-1280824	1	0
chr11:128467079-128467250	1	0
chr1:112861396-112861567	0	0
chr11:128733447-128733618	0	0
chr1:112902799-112902970	0	0
chr11:129391509-129391680	0	0
chr11:1298665-1298836	0	0
chr11:130479380-130479551	1	0
chr11:131204732-131204903	0	0
chr11:131869194-131869365	1	0
chr11:132163343-132163514	0	0
chr11:133277138-133277309	1	0
chr11:133497656-133497827	0	0
chr11:133811890-133812060	1	0
chr11:134041468-134041639	0	0
chr11:134238991-134239162	0	0
chr11:134277409-134277580	1	1
chr11:134656371-134656542	0	0
chr11:134692191-134692362	0	0
chr11:13553069-13553240	1	0
chr11:1357966-1358137	0	0
chr1:113682596-113682767	0	0
chr11:13717522-13717693	1	0
chr1:113822608-113822779	0	0
chr1:114001903-114002074	1	1
chr11:14286665-14286836	0	0
chr1:115216309-115216480	0	0
chr11:15339680-15339851	0	0
chr1:115352600-115352771	0	0
chr1:115399054-115399225	0	0
chr1:11555838-11556009	0	0
chr11:15630219-15630390	0	0
chr11:15754972-15755143	0	0
chr11:15774178-15774349	0	0
chr11:16383015-16383186	0	0
chr1:116385250-116385421	0	0
chr1:116474799-116474970	0	0
chr1:116687194-116687365	1	0
chr1:117105496-117105667	0	0
chr11:18045644-18045815	0	0
chr11:18488923-18489093	0	0
chr11:19175198-19175369	0	0
chr11:19199560-19199731	0	0
chr1:119333859-119334030	0	0
chr11:19596591-19596762	1	0
chr1:119623681-119623852	0	0
chr1:119631648-119631819	0	0
chr1:11972944-11973115	0	0
chr1:119892592-119892763	1	0
chr11:20111923-20112094	0	0
chr11:20630808-20630979	0	0
chr11:21155692-21155863	1	2
chr11:21292030-21292201	0	0
chr11:2130877-2131048	1	0
chr11:21320476-21320647	1	0
chr11:2134748-2134919	1	1
chr1:1226734-1226905	0	0
chr11:2382114-2382285	0	0
chr11:2388581-2388752	1	0
chr1:1239045-1239216	0	0
chr11:2465833-2466004	0	0
chr1:12574112-12574283	1	0
chr11:2709754-2709925	0	0
chr11:28258690-28258861	0	0
chr11:30488425-30488596	0	0
chr11:3075950-3076121	1	0
chr11:329245-329416	0	0
chr11:33255351-33255522	0	0
chr11:33312082-33312253	1	0
chr11:3354929-3355100	0	0
chr11:33722502-33722673	0	0
chr11:34041232-34041403	0	0
chr11:35227039-35227210	0	0
chr11:35661637-35661808	0	0
chr1:1361573-1361744	0	0
chr11:36455054-36455225	1	0
chr11:3688525-3688696	0	0
chr1:13692004-13692175	0	0
chr11:3802226-3802397	0	0
chr11:3828697-3828868	0	0
chr11:39682209-39682380	0	0
chr1:1431012-1431183	0	0
chr1:1434860-1435031	0	0
chr11:44777000-44777171	1	0
chr11:44777763-44777934	0	0
chr11:44909961-44910132	1	0
chr11:44941159-44941330	0	0
chr1:1451763-1451934	1	0
chr1:145959483-145959654	0	0
chr11:46373319-46373490	1	0
chr11:46826043-46826214	1	0
chr11:46966886-46967057	1	0
chr11:47227825-47227996	1	1
chr11:47304464-47304635	0	0
chr11:47415167-47415338	0	0
chr11:47425340-47425511	0	0
chr11:47640767-47640937	1	0
chr11:47647016-47647187	0	0
chr11:47973245-47973416	0	0
chr11:47986689-47986860	0	0
chr1:148304897-148305068	0	0
chr1:148334852-148335023	1	1
chr1:150162585-150162756	1	1
chr11:50247393-50247564	0	0
chr1:150280644-150280815	1	0
chr1:150305244-150305415	0	0
chr1:150350450-150350621	1	0
chr1:150532965-150533136	0	0
chr1:150871716-150871887	0	0
chr1:150914658-150914829	1	0
chr1:150981770-150981941	1	2
chr1:151073965-151074136	0	0
chr1:15187848-15188019	0	0
chr1:153624596-153624767	1	0
chr1:153633915-153634086	1	0
chr1:153969708-153969879	1	0
chr1:154177066-154177237	0	0
chr1:15418447-15418618	1	1
chr1:154232624-154232795	0	0
chr1:154331277-154331448	0	0
chr1:154622079-154622250	0	0
chr1:1546379-1546549	1	2
chr1:154779899-154780070	0	0
chr1:154984125-154984296	1	0
chr1:155182797-155182968	0	0
chr1:155350197-155350368	0	0
chr1:155665553-155665724	0	0
chr1:155753418-155753589	0	0
chr1:156040140-156040311	0	0
chr1:156078184-156078355	1	2
chr1:156082219-156082390	0	0
chr1:156202321-156202492	0	0
chr1:156237400-156237571	0	0
chr1:156665089-156665260	1	0
chr1:15716752-15716923	0	0
chr11:57288874-57289045	1	0
chr1:15749258-15749429	0	0
chr1:15762048-15762219	0	0
chr11:57633703-57633874	0	0
chr11:57642122-57642293	0	0
chr11:57751812-57751983	0	0
chr1:15952132-15952303	1	0
chr1:16003612-16003783	1	0
chr1:160122091-160122261	1	2
chr1:160261613-160261784	0	0
chr1:160406739-160406910	1	2
chr11:60776723-60776894	0	0
chr11:60891551-60891722	0	0
chr11:60894301-60894472	1	1
chr11:60915474-60915645	0	0
chr11:61137481-61137652	0	0
chr1:161188652-161188823	1	0
chr1:161212868-161213039	1	0
chr1:161222108-161222279	0	0
chr1:161258684-161258855	1	0
chr11:61396554-61396725	0	0
chr11:61522287-61522458	0	0
chr1:16173196-16173367	1	1
chr11:61759382-61759553	0	0
chr11:61813547-61813718	1	0
chr11:61814393-61814564	0	0
chr1:161993422-161993593	0	0
chr1:162003250-162003421	0	0
chr11:62401840-62402011	0	0
chr11:62616100-62616271	0	0
chr11:62617090-62617261	1	0
chr11:62672499-62672670	0	0
chr11:62672914-62673085	0	0
chr11:62678187-62678358	1	1
chr1:162754125-162754296	1	0
chr11:62841677-62841848	0	0
chr11:62926472-62926643	1	2
chr1:163063669-163063840	1	0
chr1:16344740-16344911	0	0
chr11:6386334-6386505	0	0
chr11:63971091-63971262	0	0
chr11:63979508-63979679	0	0
chr11:64018545-64018716	0	0
chr11:64190747-64190918	0	0
chr11:64220748-64220919	0	0
chr11:64321380-64321551	1	1
chr11:64405215-64405386	0	0
chr1:164598624-164598795	1	0
chr11:64618625-64618796	0	0
chr1:164706390-164706561	0	0
chr1:164773588-164773759	0	0
chr11:65188172-65188343	0	0
chr11:65299429-65299600	0	0
chr11:65536784-65536955	0	0
chr11:65600278-65600449	0	0
chr11:65718850-65719021	1	2
chr11:65894280-65894451	1	0
chr11:65896654-65896825	1	0
chr11:65922682-65922853	1	0
chr11:65949528-65949699	0	0
chr11:65949532-65949703	0	0
chr11:65949544-65949715	0	0
chr11:66012680-66012851	1	0
chr11:66433975-66434146	0	0
chr11:66480529-66480700	1	0
chr11:66502351-66502522	0	0
chr1:166978106-166978277	0	0
chr11:67273727-67273898	0	0
chr11:67367677-67367848	0	0
chr11:67438159-67438330	0	0
chr11:67473124-67473295	1	0
chr11:67586564-67586735	0	0
chr11:67629558-67629729	1	0
chr1:167636893-167637064	1	0
chr1:167943571-167943742	0	0
chr11:68128930-68129101	0	0
chr11:68317228-68317399	0	0
chr11:68330802-68330973	1	0
chr11:68467814-68467985	0	0
chr11:68773912-68774083	1	0
chr11:68832721-68832892	1	0
chr1:16897014-16897185	1	0
chr11:68978411-68978582	1	0
chr11:69051535-69051706	1	0
chr11:69154700-69154871	0	0
chr1:16963512-16963683	0	0
chr11:69649392-69649563	0	0
chr11:69733943-69734114	0	0
chr1:16987847-16988018	0	0
chr1:17009127-17009298	0	0
chr1:171488209-171488380	0	0
chr1:171656701-171656872	0	0
chr11:72712946-72713117	0	0
chr11:72737697-72737868	1	0
chr11:72743152-72743323	0	0
chr11:72752195-72752366	1	0
chr11:72753601-72753772	0	0
chr11:72788236-72788407	0	0
chr11:72984622-72984793	0	0
chr1:17319643-17319814	0	0
chr11:73779300-73779471	1	0
chr1:173788739-173788910	1	0
chr11:73981610-73981781	0	0
chr11:73983419-73983590	1	0
chr11:740911-741082	0	0
chr1:174161649-174161820	0	0
chr11:74163367-74163538	1	0
chr1:17460132-17460303	1	0
chr11:74721010-74721181	0	0
chr11:748863-749034	0	0
chr1:17521262-17521432	1	0
chr11:75340290-75340461	1	0
chr11:755461-755632	0	0
chr11:75576287-75576458	1	1
chr1:175580074-175580245	1	0
chr11:75627931-75628102	1	0
chr1:17575574-17575745	0	0
chr1:175801664-175801835	1	0
chr11:7582032-7582203	0	0
chr11:76184144-76184315	0	0
chr11:76655942-76656113	0	0
chr11:76787953-76788124	1	0
chr11:76789243-76789414	0	0
chr11:78030293-78030464	0	0
chr1:1788851-1789022	1	0
chr11:79279028-79279199	1	0
chr11:79630240-79630411	1	0
chr1:180603539-180603710	1	1
chr1:181078413-181078584	0	0
chr11:81938349-81938520	0	0
chr11:83036111-83036282	0	0
chr11:83342166-83342337	0	0
chr1:185034389-185034560	0	0
chr1:185041589-185041760	0	0
chr1:185701638-185701809	0	0
chr1:186253842-186254013	0	0
chr1:186365139-186365310	1	0
chr11:86474605-86474776	0	0
chr11:86998879-86999050	0	0
chr11:88008737-88008908	1	1
chr1:18950561-18950732	1	0
chr1:19070907-19071078	0	0
chr1:19087058-19087229	0	0
chr11:9208343-9208514	0	0
chr1:19221599-19221770	1	0
chr11:93209598-93209769	0	0
chr1:193620212-193620383	0	0
chr11:94570095-94570266	1	0
chr11:94796517-94796688	0	0
chr11:94927379-94927550	1	2
chr11:95077219-95077390	0	0
chr11:96253006-96253177	1	2
chr11:96305980-96306151	0	0
chr11:96331650-96331821	0	0
chr11:9800014-9800185	0	0
chr1:198265237-198265408	0	0
chr1:1989231-1989402	1	0
chr11:99634755-99634923	0	0
chr1:201131176-201131347	0	0
chr1:201147836-201148007	1	0
chr1:201329886-201330057	0	0
chr1:201426574-201426745	0	0
chr1:201469018-201469189	1	0
chr1:201481200-201481371	0	0
chr1:201483214-201483385	1	0
chr1:202005037-202005208	1	0
chr1:202114218-202114388	0	0
chr1:202601371-202601542	1	0
chr1:203030021-203030192	0	0
chr1:203082164-203082335	0	0
chr1:203177138-203177309	0	0
chr1:203224881-203225052	0	0
chr1:203406543-203406714	0	0
chr1:203440131-203440302	1	0
chr1:203440135-203440306	0	0
chr1:203650630-203650801	0	0
chr1:203809048-203809219	1	0
chr1:203860798-203860959	1	0
chr1:204140697-204140868	0	0
chr1:204256782-204256953	0	0
chr1:204368685-204368856	1	0
chr1:204446751-204446922	0	0
chr1:204477026-204477197	0	0
chr1:205054981-205055152	1	0
chr1:205800653-205800824	0	0
chr1:20618492-20618663	0	0
chr1:206716481-206716652	1	0
chr1:206726391-206726562	0	0
chr1:207205125-207205296	1	0
chr1:207310853-207311024	0	0
chr1:208106381-208106552	0	0
chr1:208132881-208133052	0	0
chr1:20841674-20841845	1	0
chr1:209188429-209188600	0	0
chr1:209772566-209772737	0	0
chr12:100634897-100635068	0	0
chr12:101414267-101414438	0	0
chr12:101415305-101415476	0	0
chr1:210373974-210374145	1	0
chr12:104447817-104447988	1	2
chr12:104469827-104469998	1	0
chr12:104541781-104541952	0	0
chr12:105069781-105069951	0	0
chr12:106592496-106592667	0	0
chr1:210682337-210682508	0	0
chr12:107073377-107073548	1	2
chr12:107323226-107323397	0	0
chr12:108644230-108644401	0	0
chr12:109020567-109020738	0	0
chr12:109447378-109447549	1	1
chr12:109985821-109985992	0	0
chr12:110258587-110258758	0	0
chr12:110422921-110423092	1	1
chr12:110501750-110501921	0	0
chr12:110510731-110510902	0	0
chr12:110717541-110717712	1	2
chr12:110901011-110901182	1	0
chr1:211101426-211101597	0	0
chr12:111414478-111414649	0	0
chr12:111414634-111414805	0	0
chr12:111442227-111442398	0	0
chr12:111638097-111638268	1	0
chr12:112017515-112017686	0	0
chr12:112154579-112154750	1	0
chr12:112430703-112430874	0	0
chr1:211260664-211260835	0	0
chr12:113164578-113164749	0	0
chr12:113780650-113780821	1	0
chr12:115423455-115423626	0	0
chr12:117001225-117001396	0	0
chr12:117030253-117030424	1	0
chr12:117042828-117042999	0	0
chr12:117059665-117059836	0	0
chr12:117098802-117098973	0	0
chr1:211799386-211799557	1	0
chr12:11799552-11799723	0	0
chr12:118083545-118083716	0	0
chr1:211933255-211933426	0	0
chr1:211969333-211969504	0	0
chr12:119903029-119903200	0	0
chr12:119942403-119942574	1	0
chr12:120008963-120009134	0	0
chr12:120105160-120105331	0	0
chr12:120107123-120107294	0	0
chr12:120197021-120197191	0	0
chr12:120216497-120216668	0	0
chr12:120474132-120474303	0	0
chr12:120624963-120625134	0	0
chr12:120678755-120678926	0	0
chr12:120766004-120766175	0	0
chr12:121192764-121192935	0	0
chr12:12119358-12119529	0	0
chr12:121817678-121817849	1	2
chr12:121893177-121893348	0	0
chr12:122066038-122066209	0	0
chr12:122068901-122069072	0	0
chr12:122110924-122111095	0	0
chr1:212220049-212220220	0	0
chr12:123029394-123029565	0	0
chr12:123067310-123067481	0	0
chr12:123249340-123249511	0	0
chr12:123264151-123264322	1	0
chr12:123973411-123973582	0	0
chr12:124058900-124059071	0	0
chr12:124314328-124314499	0	0
chr12:124331268-124331439	0	0
chr12:124379093-124379264	1	0
chr12:124408302-124408473	0	0
chr12:12441821-12441992	0	0
chr12:12445864-12446030	0	0
chr12:124554601-124554772	0	0
chr12:124562753-124562924	1	2
chr12:124779976-124780147	0	0
chr12:124898382-124898553	0	0
chr12:124925404-124925575	0	0
chr12:125002651-125002822	0	0
chr12:125006406-125006577	1	0
chr12:12502597-12502768	1	1
chr12:127349950-127350121	0	0
chr1:21276726-21276897	1	0
chr12:12823414-12823585	1	0
chr12:128403932-128404103	0	0
chr1:212942572-212942743	1	0
chr12:12953210-12953381	1	0
chr12:130088104-130088275	0	0
chr12:13013597-13013768	0	0
chr12:131700905-131701076	0	0
chr12:131722436-131722607	0	0
chr12:131941601-131941772	0	0
chr12:132429018-132429189	0	0
chr12:132524452-132524623	0	0
chr12:132758854-132759025	0	0
chr12:132948434-132948605	1	1
chr12:14099462-14099633	0	0
chr12:14358593-14358764	0	0
chr12:1440324-1440495	0	0
chr1:21598766-21598936	0	0
chr12:16353139-16353310	1	0
chr12:16358057-16358228	0	0
chr1:21668346-21668517	0	0
chr12:1743101-1743272	1	1
chr12:17452428-17452599	1	0
chr1:21926348-21926519	0	0
chr1:21927121-21927292	1	0
chr12:19390679-19390850	1	0
chr12:19395509-19395680	1	0
chr1:220091665-220091836	1	0
chr12:20492460-20492631	0	0
chr12:2055549-2055720	0	0
chr12:20588291-20588462	0	0
chr12:2062604-2062775	1	0
chr1:220693190-220693361	0	0
chr1:220795826-220795997	0	0
chr1:220810119-220810290	1	0
chr12:2137447-2137618	0	0
chr1:221485747-221485918	0	0
chr1:222044766-222044937	1	0
chr12:2215311-2215482	0	0
chr1:222400674-222400845	0	0
chr12:2241118-2241289	1	0
chr12:23409274-23409445	0	0
chr1:223492931-223493102	1	0
chr1:223716195-223716366	0	0
chr12:2372775-2372946	0	0
chr1:223749233-223749404	1	0
chr1:224167905-224168076	1	0
chr1:224231728-224231899	0	0
chr1:2246505-2246676	1	0
chr12:2502580-2502751	0	0
chr1:2251476-2251647	0	0
chr1:2253981-2254152	0	0
chr1:22567167-22567338	0	0
chr1:225882663-225882834	0	0
chr1:225888104-225888275	0	0
chr1:226048454-226048625	0	0
chr1:226606768-226606939	0	0
chr1:226963386-226963557	1	2
chr1:226981979-226982150	1	0
chr1:226990542-226990713	1	0
chr1:227282039-227282210	0	0
chr1:227758754-227758925	0	0
chr1:227970358-227970529	1	0
chr1:228095954-228096125	0	0
chr1:228393249-228393420	1	0
chr12:2875019-2875190	0	0
chr1:22929304-22929475	1	0
chr12:2937435-2937606	0	0
chr1:229529947-229530118	0	0
chr1:230044037-230044208	0	0
chr1:230851181-230851352	0	0
chr12:30969820-30969991	0	0
chr1:23102061-23102232	0	0
chr12:31520440-31520611	0	0
chr1:231521051-231521222	0	0
chr1:231530993-231531164	1	2
chr1:2315369-2315540	0	0
chr12:31732312-31732483	0	0
chr1:231839734-231839905	1	0
chr12:31956301-31956472	1	1
chr12:3210861-3211032	0	0
chr12:32269914-32270083	0	0
chr12:3245567-3245738	0	0
chr1:232546611-232546782	0	0
chr12:32549625-32549796	0	0
chr1:23275911-23276082	1	2
chr12:32823240-32823411	0	0
chr12:32889065-32889236	1	0
chr12:3296259-3296430	0	0
chr1:234561044-234561215	0	0
chr1:235730565-235730736	1	0
chr12:3598978-3599149	1	0
chr1:236691927-236692098	0	0
chr1:236888922-236889093	0	0
chr1:236978783-236978954	1	0
chr1:237135386-237135557	0	0
chr1:237150642-237150813	0	0
chr1:237229851-237230022	0	0
chr12:39261041-39261212	0	0
chr12:39959222-39959393	1	0
chr1:2408491-2408662	1	0
chr12:41334534-41334705	0	0
chr1:241434059-241434230	0	0
chr12:41537885-41538056	0	0
chr12:42250215-42250386	1	0
chr12:4272643-4272814	0	0
chr1:244702113-244702284	0	0
chr1:245053003-245053174	0	0
chr1:24532282-24532453	1	0
chr12:46985308-46985479	0	0
chr12:47068717-47068888	0	0
chr1:24733492-24733663	0	0
chr1:24742998-24743169	0	0
chr12:47879449-47879620	1	2
chr12:47896347-47896518	0	0
chr12:48662163-48662334	1	0
chr12:48774123-48774294	0	0
chr12:48830975-48831146	0	0
chr1:248874111-248874282	0	0
chr12:49366786-49366957	0	0
chr12:49560096-49560267	0	0
chr12:49572120-49572291	1	0
chr12:50112359-50112530	1	0
chr12:50389130-50389301	1	0
chr12:50396505-50396676	1	0
chr12:50396545-50396716	1	0
chr12:50400804-50400975	1	0
chr12:51871258-51871429	1	2
chr12:51899291-51899462	0	0
chr12:52009967-52010138	1	0
chr12:52907160-52907331	0	0
chr12:53003862-53004033	1	0
chr12:53190340-53190511	0	0
chr12:53325365-53325536	1	0
chr1:25338542-25338713	1	0
chr12:53464478-53464649	0	0
chr1:25350539-25350710	0	0
chr12:54246394-54246565	0	0
chr12:5429506-5429677	0	0
chr12:54369886-54370057	0	0
chr12:54596706-54596877	0	0
chr12:55399842-55400013	0	0
chr12:55973755-55973926	1	2
chr12:55981663-55981834	0	0
chr12:56030346-56030516	1	0
chr12:56170106-56170277	0	0
chr12:56175526-56175697	0	0
chr12:56229408-56229579	0	0
chr12:56230131-56230302	0	0
chr12:56714431-56714602	1	0
chr12:57593442-57593613	0	0
chr12:57655420-57655591	1	0
chr1:25766890-25767061	1	0
chr12:57890789-57890960	1	0
chr12:57896672-57896843	0	0
chr12:5964749-5964920	0	0
chr1:26052533-26052704	0	0
chr1:26063203-26063374	1	1
chr12:6171777-6171948	0	0
chr12:62267201-62267372	0	0
chr1:26229597-26229768	1	0
chr12:6343184-6343355	1	1
chr12:6460958-6461129	1	0
chr12:65376142-65376313	1	0
chr12:65511633-65511804	0	0
chr12:6567466-6567637	0	0
chr12:65934869-65935040	1	0
chr1:26618408-26618579	0	0
chr1:26639022-26639193	0	0
chr1:26693075-26693246	1	0
chr12:67059110-67059281	0	0
chr12:6711675-6711846	1	0
chr12:6713929-6714100	1	0
chr12:6715895-6716066	0	0
chr12:67264175-67264346	1	0
chr12:67264179-67264350	1	0
chr1:26801681-26801852	0	0
chr12:68614588-68614759	0	0
