name	DNA1	DNA2	DNA3	DNA4	RNA1	RNA2	RNA3	RNA4	group	region_name	Coding
chr10:33462238-33462409::REF	187	176	162	186	55	37	34	51	REF	chr10:33462238-33462409	FALSE
chr10:34305949-34306120::REF	157	161	168	129	123	129	136	154	REF	chr10:34305949-34306120	FALSE
chr10:34347169-34347340::REF	95	83	69	106	84	78	96	102	REF	chr10:34347169-34347340	FALSE
chr10:34348550-34348721::REF	231	221	203	245	298	277	195	271	REF	chr10:34348550-34348721	FALSE
chr10:34646611-34646782::REF	277	312	272	315	272	246	191	293	REF	chr10:34646611-34646782	FALSE
chr10:3482530-3482701::REF	291	244	210	303	295	295	228	315	REF	chr10:3482530-3482701	FALSE
chr10:35080041-35080212::REF	49	49	44	46	60	37	47	52	REF	chr10:35080041-35080212	FALSE
chr10:35148691-35148862::REF	64	65	69	85	84	35	32	61	REF	chr10:35148691-35148862	FALSE
chr10:35337389-35337560::REF	2587	2156	2152	2459	2317	1899	1700	2237	REF	chr10:35337389-35337560	FALSE
chr10:35573393-35573564::REF	534	436	448	533	461	385	418	502	REF	chr10:35573393-35573564	FALSE
chr10:36918386-36918557::REF	253	242	226	257	381	312	259	343	REF	chr10:36918386-36918557	FALSE
chr10:375879-376050::REF	107	79	97	72	133	99	90	113	REF	chr10:375879-376050	FALSE
chr10:3768243-3768414::REF	374	304	324	395	293	267	196	278	REF	chr10:3768243-3768414	FALSE
chr10:3780644-3780814::REF	105	116	81	131	167	118	122	133	REF	chr10:3780644-3780814	FALSE
chr10:37948246-37948417::REF	107	79	113	102	93	91	75	82	REF	chr10:37948246-37948417	FALSE
chr10:43998932-43999103::REF	267	197	224	268	244	160	208	254	REF	chr10:43998932-43999103	FALSE
chr10:44379673-44379844::REF	13	21	19	29	23	13	30	20	REF	chr10:44379673-44379844	FALSE
chr10:44394232-44394403::REF	488	445	445	474	521	403	367	535	REF	chr10:44394232-44394403	FALSE
chr10:44515120-44515291::REF	159	127	141	136	88	69	73	86	REF	chr10:44515120-44515291	FALSE
chr10:44809217-44809388::REF	271	211	203	225	178	143	163	161	REF	chr10:44809217-44809388	FALSE
chr10:45850953-45851124::REF	34	42	39	33	57	74	56	66	REF	chr10:45850953-45851124	FALSE
chr10:48287771-48287942::REF	406	356	401	423	561	445	365	468	REF	chr10:48287771-48287942	FALSE
chr10:50612317-50612488::REF	232	177	170	178	280	210	194	276	REF	chr10:50612317-50612488	FALSE
chr10:50625700-50625871::REF	168	119	150	166	167	144	129	167	REF	chr10:50625700-50625871	FALSE
chr10:511629-511800::REF	411	360	345	373	316	284	234	294	REF	chr10:511629-511800	FALSE
chr10:51684915-51685086::REF	348	283	331	358	295	244	212	355	REF	chr10:51684915-51685086	FALSE
chr10:5317429-5317600::REF	199	159	192	177	87	72	52	81	REF	chr10:5317429-5317600	FALSE
chr10:5317834-5318005::REF	287	266	237	302	249	214	165	308	REF	chr10:5317834-5318005	FALSE
chr10:53459277-53459448::REF	79	64	48	71	124	63	70	93	REF	chr10:53459277-53459448	FALSE
chr10:54102642-54102813::REF	235	220	212	225	270	291	201	238	REF	chr10:54102642-54102813	FALSE
chr10:54295990-54296161::REF	110	113	98	131	75	64	52	87	REF	chr10:54295990-54296161	FALSE
chr10:556007-556178::REF	357	303	329	374	439	349	328	365	REF	chr10:556007-556178	FALSE
chr10:5618007-5618178::REF	74	58	58	90	58	65	44	56	REF	chr10:5618007-5618178	FALSE
chr10:56344987-56345158::REF	36	30	34	34	31	33	34	24	REF	chr10:56344987-56345158	FALSE
chr10:56583379-56583550::REF	172	159	150	186	247	205	152	257	REF	chr10:56583379-56583550	FALSE
chr10:57627943-57628114::REF	262	197	203	244	204	180	167	236	REF	chr10:57627943-57628114	FALSE
chr10:5810495-5810666::REF	123	81	85	104	80	84	77	82	REF	chr10:5810495-5810666	FALSE
chr10:58706635-58706806::REF	91	121	88	95	57	61	59	60	REF	chr10:58706635-58706806	FALSE
chr10:5897376-5897547::REF	100	118	95	110	140	73	89	126	REF	chr10:5897376-5897547	FALSE
chr10:59479525-59479696::REF	217	191	204	205	206	227	162	216	REF	chr10:59479525-59479696	FALSE
chr10:59793915-59794086::REF	40	44	51	44	24	20	10	19	REF	chr10:59793915-59794086	FALSE
chr10:60044000-60044171::REF	554	448	496	494	504	421	363	464	REF	chr10:60044000-60044171	TRUE
chr10:60288297-60288468::REF	250	225	222	295	364	305	285	305	REF	chr10:60288297-60288468	FALSE
chr10:608725-608896::REF	66	53	61	60	81	67	56	54	REF	chr10:608725-608896	FALSE
chr10:60873217-60873388::REF	372	274	293	347	433	385	367	397	REF	chr10:60873217-60873388	FALSE
chr10:6087800-6087971::REF	274	238	258	270	280	211	163	207	REF	chr10:6087800-6087971	FALSE
chr10:6089306-6089477::REF	242	219	206	249	303	221	189	254	REF	chr10:6089306-6089477	FALSE
chr10:60939275-60939446::REF	174	134	127	157	193	186	179	144	REF	chr10:60939275-60939446	FALSE
chr10:61376978-61377149::REF	1231	1101	1098	1192	936	834	717	929	REF	chr10:61376978-61377149	FALSE
chr10:61857971-61858142::REF	350	312	306	358	483	340	397	482	REF	chr10:61857971-61858142	FALSE
chr10:63384765-63384936::REF	597	504	487	536	597	446	413	536	REF	chr10:63384765-63384936	FALSE
chr10:64587256-64587419::REF	131	95	89	113	124	122	80	93	REF	chr10:64587256-64587419	FALSE
chr10:65341674-65341845::REF	88	60	65	64	79	65	79	80	REF	chr10:65341674-65341845	FALSE
chr10:66067432-66067603::REF	186	151	162	194	220	189	122	139	REF	chr10:66067432-66067603	FALSE
chr10:67119728-67119899::REF	66	59	47	61	57	49	38	65	REF	chr10:67119728-67119899	FALSE
chr10:67567669-67567840::REF	136	130	126	107	123	141	76	124	REF	chr10:67567669-67567840	FALSE
chr10:67574197-67574368::REF	201	155	124	194	301	190	175	227	REF	chr10:67574197-67574368	FALSE
chr10:67768135-67768306::REF	12	13	22	32	25	21	20	20	REF	chr10:67768135-67768306	FALSE
chr10:67892958-67893129::REF	102	82	104	120	113	118	77	112	REF	chr10:67892958-67893129	FALSE
chr10:67899514-67899685::REF	533	410	503	496	506	454	454	487	REF	chr10:67899514-67899685	FALSE
chr10:68325618-68325788::REF	225	165	186	182	552	408	455	470	REF	chr10:68325618-68325788	FALSE
chr10:68507982-68508153::REF	657	656	617	660	570	481	413	577	REF	chr10:68507982-68508153	FALSE
chr10:68627607-68627778::REF	81	41	40	71	50	32	52	51	REF	chr10:68627607-68627778	FALSE
chr10:68952025-68952196::REF	204	150	183	186	224	154	114	144	REF	chr10:68952025-68952196	FALSE
chr10:68967437-68967608::REF	38	34	37	38	46	34	17	30	REF	chr10:68967437-68967608	FALSE
chr10:69137577-69137748::REF	286	257	241	288	332	263	263	329	REF	chr10:69137577-69137748	FALSE
chr10:69321711-69321882::REF	647	527	513	611	632	533	515	646	REF	chr10:69321711-69321882	FALSE
chr10:69321748-69321919::REF	231	193	193	221	190	158	162	185	REF	chr10:69321748-69321919	FALSE
chr10:69336806-69336977::REF	89	54	67	70	66	80	64	76	REF	chr10:69336806-69336977	FALSE
chr10:69803921-69804092::REF	1479	1317	1155	1435	1670	1440	1180	1554	REF	chr10:69803921-69804092	FALSE
chr10:70009482-70009653::REF	185	157	158	170	209	145	112	166	REF	chr10:70009482-70009653	FALSE
chr10:70159337-70159508::REF	307	260	256	312	267	225	196	271	REF	chr10:70159337-70159508	FALSE
chr10:70160536-70160707::REF	104	80	77	82	68	57	53	43	REF	chr10:70160536-70160707	FALSE
chr10:70438813-70438984::REF	144	112	122	111	138	75	93	96	REF	chr10:70438813-70438984	FALSE
chr10:70494450-70494621::REF	124	134	119	153	106	119	85	159	REF	chr10:70494450-70494621	FALSE
chr10:70553347-70553518::REF	746	613	637	654	644	481	475	568	REF	chr10:70553347-70553518	FALSE
chr10:70810636-70810807::REF	877	770	844	862	694	566	462	589	REF	chr10:70810636-70810807	FALSE
chr10:70815195-70815366::REF	247	232	241	289	297	262	238	294	REF	chr10:70815195-70815366	FALSE
chr10:70819351-70819522::REF	21	24	23	36	28	23	28	15	REF	chr10:70819351-70819522	FALSE
chr10:71068826-71068997::REF	873	739	740	855	1089	881	765	981	REF	chr10:71068826-71068997	FALSE
chr10:71192259-71192430::REF	399	338	350	363	451	349	300	398	REF	chr10:71192259-71192430	FALSE
chr10:71219637-71219808::REF	541	458	459	573	774	615	534	795	REF	chr10:71219637-71219808	FALSE
chr10:71244819-71244990::REF	985	868	763	964	750	585	553	781	REF	chr10:71244819-71244990	FALSE
chr10:71261266-71261437::REF	317	253	263	322	368	293	290	352	REF	chr10:71261266-71261437	FALSE
chr10:71729705-71729876::REF	45	38	52	52	68	64	52	69	REF	chr10:71729705-71729876	FALSE
chr10:71934424-71934595::REF	141	135	118	143	132	111	100	153	REF	chr10:71934424-71934595	FALSE
chr10:72098035-72098206::REF	198	168	155	189	246	169	158	200	REF	chr10:72098035-72098206	FALSE
