"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr10:111171653-111172053" 1008 671 915 1177 1033 914 1075 1351 562 513 445 754 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111192688-111193088" 95 26 36 61 91 79 284 128 166 133 121 323 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111582054-111582454" 432 166 292 403 503 366 175 139 136 97 119 143 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111606600-111607000" 3968 3700 4178 4788 5203 4221 1569 1543 1007 897 658 1426 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111727086-111727486" 455 258 342 431 482 392 907 800 366 360 247 665 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111737251-111737651" 248 59 144 147 317 247 249 155 135 116 86 203 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:11183455-11183855" 830 596 709 931 1012 791 708 734 343 287 363 419 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111841631-111842031" 941 615 849 1022 1106 1000 609 607 346 328 333 364 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:11187433-11187833" 48 10 17 45 68 51 51 32 29 29 36 65 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:11231544-11231944" 2134 1648 1865 2349 2851 2302 1933 2149 1108 1033 925 1364 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:112389543-112389943" 1587 866 1354 1537 1834 1616 830 893 506 416 460 641 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:112444998-112445398" 1007 752 936 1116 1313 1040 1242 1150 1270 979 741 1422 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:112477558-112477958" 6939 6605 7333 8612 8809 7529 5819 6342 3232 2976 2146 5861 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:113104551-113104951" 315 122 172 191 289 250 125 105 39 46 61 56 "d0_noncoding" "Neg" "Neg_1"
"chr10:113266031-113266431" 170 60 136 180 192 205 62 40 43 16 32 63 "d0_noncoding" "Neg" "Neg_1"
"chr10:113266405-113266805" 80 35 41 53 79 59 310 235 171 182 386 227 "d0_noncoding" "Neg" "Neg_1"
"chr10:11377109-11377509" 1318 1009 1362 1559 1760 1558 4519 4554 2224 2085 1847 3871 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:114723493-114723893" 2397 1333 1917 2393 2751 2523 3377 3136 2139 1885 1772 2742 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:114729322-114729722" 4355 3509 4289 4720 5223 4410 1977 2444 1240 1191 1218 1974 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:114779519-114779919" 13 10 0 1 1 0 1 6 1 0 4 5 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:114787481-114787881" 981 1035 965 1134 1204 986 572 568 320 217 159 358 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:114898719-114899119" 5026 4148 4369 5721 5968 4939 4129 4468 2710 2505 2015 3792 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:11511551-11511951" 300 177 218 254 275 246 124 128 53 55 54 54 "d0_noncoding" "Neg" "Neg_1"
"chr10:116239119-116239519" 3056 3209 3236 4050 3713 3377 1690 1989 1153 877 738 1321 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:116363710-116364110" 5 1 1 1 5 4 0 0 1 0 0 0 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:116408094-116408494" 100 69 72 132 114 103 187 110 63 48 67 80 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:116474179-116474579" 6252 4998 6207 7648 8066 6756 2765 2886 1943 1593 2059 2195 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:120458001-120458401" 812 508 606 781 913 765 540 562 341 260 189 433 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:120630391-120630791" 2556 2535 2476 2988 3011 2809 1238 1212 676 744 781 1004 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:120949831-120950231" 2388 1915 2145 2652 2864 2432 937 1109 577 596 511 929 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:121427307-121427707" 2846 3061 3123 4001 3756 3120 4843 4922 3430 3260 3019 6413 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:121447605-121448005" 518 436 564 864 909 674 821 1050 614 602 514 689 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122448445-122448845" 303 260 233 333 328 285 115 103 73 38 82 119 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122741167-122741567" 439 180 364 373 564 512 889 897 556 434 442 987 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122823246-122823646" 1295 1134 1327 1504 1687 1429 1006 1448 624 545 575 864 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122838304-122838704" 21159 24695 24346 28008 27952 23489 37614 40924 15931 16589 12483 26194 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122856358-122856758" 2141 1839 1967 2490 2591 2448 2118 2320 1132 1095 767 1515 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122859076-122859476" 23 18 14 25 26 24 23 13 5 5 6 3 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122872927-122873327" 1297 679 1060 1215 1547 1285 1040 1140 566 511 551 752 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122873415-122873815" 144 15 42 72 143 97 93 37 37 61 56 102 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:122918374-122918774" 319 199 239 302 386 364 186 135 89 73 111 146 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:123540615-123541015" 1483 1645 1303 1763 1806 1621 887 1074 510 441 411 660 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:123551786-123552186" 2313 1454 1845 2394 2691 2193 1695 1551 839 852 831 1231 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:123680984-123681384" 881 590 729 940 1011 865 592 669 399 289 219 556 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:123899236-123899636" 7752 7031 8366 9364 10101 8210 10536 10404 5855 6075 4190 10687 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:126333425-126333825" 3646 3027 3046 3691 4220 3351 3655 3911 2357 2483 1406 3581 "d0_noncoding" "Neg" "Neg_1"
"chr10:126920062-126920462" 152 132 175 220 284 200 61 100 36 51 32 34 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:127033184-127033584" 4570 3848 4381 5304 5353 4764 8586 8654 4638 4316 3925 7640 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:128492994-128493394" 7860 6720 6955 7984 9135 7411 16991 16821 10151 10361 10008 16150 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:128771280-128771680" 736 400 592 787 863 766 203 230 134 127 119 264 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:129206437-129206837" 2618 1929 2193 2705 2756 2342 2403 2861 1195 948 600 1931 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:129493705-129494105" 405 200 257 338 384 357 214 233 108 88 100 146 "d0_noncoding" "Neg" "Neg_1"
"chr10:129955270-129955670" 11215 10728 11591 13308 13515 12218 3682 4419 1784 1786 1321 3058 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:130215989-130216389" 4188 3585 4350 4902 5146 4289 746 868 420 385 366 543 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:130316407-130316807" 2305 1375 1918 2450 2746 2551 3989 4402 2319 1944 1371 3471 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:130334412-130334812" 3905 2754 3254 4051 4387 3692 2310 2604 1175 1144 1131 1673 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:130386645-130387045" 353 122 259 291 432 364 832 791 557 486 468 723 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:130397834-130398234" 1021 657 818 1026 1093 1013 238 309 185 179 179 231 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:130730714-130731114" 893 412 604 835 1154 860 456 452 289 255 188 564 "d0_noncoding" "Neg" "Neg_1"
"chr10:132160508-132160908" 3426 2770 3099 3641 4103 3522 4746 4566 2889 2888 2427 4509 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:134218476-134218876" 64 20 108 52 7 207 0 1 0 0 0 0 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr10:134940994-134941394" 7 2 7 4 5 12 0 2 0 0 2 0 "d0_noncoding" "Neg" "Neg_1"
"chr10:13972155-13972555" 1257 1102 1219 1609 1609 1387 1348 1169 589 569 564 1118 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:13987744-13988144" 3888 2813 3374 4332 4484 3950 5567 5694 2824 2552 2765 4507 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:14003158-14003558" 3273 2403 3138 3827 4296 3539 6462 7380 2909 2755 2889 4540 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:14032342-14032742" 2770 2670 3079 3703 3512 3245 2899 2980 1533 1574 1019 3193 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:14098831-14099231" 54 16 45 48 60 67 153 78 67 50 80 54 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:14338125-14338525" 348 131 223 307 388 302 792 694 456 481 314 810 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:15126463-15126863" 6601 4797 6503 7776 8287 7195 3791 4501 2230 1896 2073 3379 "d0_noncoding" "Neg" "Neg_1"
"chr10:16237877-16238277" 140 30 60 87 142 116 431 312 253 212 281 468 "d0_noncoding" "Neg" "Neg_1"
"chr10:17299670-17300070" 91 13 49 59 117 94 87 67 54 18 49 85 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:18571039-18571439" 1747 1301 1506 1841 2015 1744 4522 4733 2975 2902 3076 4698 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:21095397-21095797" 1437 1267 1416 1613 1517 1369 937 1227 530 561 559 767 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:21178929-21179329" 341 465 383 453 472 445 153 207 110 98 92 108 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:21180302-21180702" 143 27 66 91 118 111 167 105 103 96 112 150 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:21212572-21212972" 21 8 7 15 32 11 13 8 16 12 8 11 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:21244186-21244586" 884 571 708 870 940 822 1430 1553 894 931 1107 1212 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:22004712-22005112" 256 149 210 293 318 302 1248 1168 648 687 670 876 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:22015832-22016232" 198 96 134 173 219 219 110 126 89 49 105 78 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:22109871-22110271" 392 185 326 402 544 471 270 265 136 114 97 139 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:24907295-24907695" 786 737 802 840 776 869 581 554 300 283 343 416 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:24995387-24995787" 352 194 290 299 444 394 1405 1193 734 691 898 1232 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:27361365-27361765" 1228 1061 1178 1418 1436 1283 575 637 318 308 299 754 "d0_noncoding" "Neg" "Neg_1"
"chr10:29010847-29011247" 88 13 31 46 81 61 94 60 28 16 40 106 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:29023934-29024334" 560 503 579 730 719 653 156 136 75 65 63 89 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:29947935-29948335" 440 292 329 450 472 413 204 311 99 128 82 149 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:2999951-3000351" 4276 3894 4251 4853 5035 4391 1792 2264 924 912 886 1498 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:30014173-30014573" 1984 1571 1826 2346 2318 1973 1740 1937 853 1028 647 1355 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:30125293-30125693" 775 772 742 979 1017 919 608 745 407 385 322 468 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:30130892-30131292" 1372 1389 1489 1469 1757 1464 603 798 341 316 217 528 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:30154547-30154947" 217 100 165 209 284 230 251 202 129 111 130 228 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:30164829-30165229" 1954 1265 1661 2035 2274 1951 2633 2588 1497 1410 1095 2185 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3027907-3028307" 2455 2492 2787 3190 3228 3189 2921 3325 1636 1548 977 2943 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3053051-3053451" 41287 50951 47218 52753 50698 42920 20826 24144 12384 13890 12266 20921 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:32533738-32534138" 487 83 191 257 422 375 21 15 11 15 4 26 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:32542214-32542614" 1765 933 1390 1773 2033 1673 3058 3506 1879 1746 1654 3924 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3269152-3269552" 119 61 83 115 126 121 68 69 36 17 37 58 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33484694-33485094" 2409 1688 2117 2537 2939 2432 1987 2271 1186 964 971 1462 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33526881-33527281" 917 1167 977 1330 1381 1133 436 677 224 220 196 337 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33547852-33548252" 143 83 125 153 155 171 155 131 69 74 91 218 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33553134-33553534" 1916 2146 1905 2711 2584 2254 1973 2140 963 927 749 1124 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3355974-3356374" 31816 42036 39055 45199 44444 36523 9446 10711 6196 5385 2550 9487 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33610599-33610999" 2002 1899 2046 2841 2840 2282 1638 1906 973 857 788 1299 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33675811-33676211" 393 184 263 297 477 393 650 388 273 274 50 441 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33710724-33711124" 1019 832 818 1092 1371 1133 1902 1768 810 822 961 1410 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33749328-33749728" 243 60 130 125 258 214 263 175 166 139 163 304 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33787228-33787628" 515 501 558 710 635 574 468 551 244 275 275 543 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:33798139-33798539" 181 43 105 147 234 149 727 562 511 339 438 632 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34413679-34414079" 315 239 187 283 302 323 197 180 86 95 110 190 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34470869-34471269" 354 183 239 279 317 289 95 79 42 40 20 61 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34489327-34489727" 6709 5802 6872 8483 8810 7450 3785 4700 2349 2097 2043 2804 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34502383-34502783" 421 334 379 498 510 438 175 267 69 87 104 125 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34505274-34505674" 369 274 369 482 538 467 568 733 334 369 506 630 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34616142-34616542" 6287 5624 6236 7718 7790 6986 10960 12081 5433 4965 4810 7614 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34793462-34793862" 346 134 218 280 364 285 154 165 91 76 116 163 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34917303-34917703" 883 979 1072 1252 1215 1036 343 520 195 183 185 352 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34940320-34940720" 322 206 236 296 374 370 218 312 123 100 103 157 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:34996572-34996972" 404 94 218 287 406 396 279 225 178 153 150 276 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:35047312-35047712" 984 598 811 1019 1107 920 4348 4157 2495 2206 2486 3367 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3524490-3524890" 31288 29972 34626 40211 43996 34955 58422 62413 35421 35875 35659 57799 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:35289849-35290249" 268 189 205 246 263 238 588 662 311 254 237 266 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3542555-3542955" 3783 3651 3687 4575 4260 3787 13823 14896 8412 8109 5916 13088 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:35647974-35648374" 511 403 386 516 604 417 260 233 159 148 120 263 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:35661229-35661629" 1384 1396 1548 1890 1972 1678 775 817 545 545 391 774 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3568000-3568400" 76 82 89 125 142 150 281 306 168 207 153 299 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:35710427-35710827" 376 108 207 304 350 329 145 135 109 75 57 89 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:35759465-35759865" 1384 909 1195 1562 1856 1579 360 376 208 172 181 382 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3581259-3581659" 6932 6624 6996 8986 8771 7063 5583 6442 2613 2896 2490 4871 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3782539-3782939" 303 178 232 302 373 300 70 130 99 59 74 98 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3790208-3790608" 402 96 220 272 444 383 243 181 111 109 109 214 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3797880-3798280" 1474 842 1105 1364 1734 1506 1556 1670 914 804 756 1581 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3848211-3848611" 2859 2044 2484 2982 3196 2976 1786 1777 841 807 597 1150 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3867408-3867808" 728 361 506 541 770 646 301 280 168 141 128 256 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3894516-3894916" 244 217 248 222 283 303 239 263 90 83 117 136 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3936329-3936729" 116 68 73 100 136 103 80 51 24 35 41 43 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3953930-3954330" 354 176 292 362 380 343 779 532 397 419 362 470 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:3997712-3998112" 999 501 767 1082 1329 1075 2026 1854 1114 969 930 1786 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:4111673-4112073" 4519 4434 4800 5965 5611 5125 20472 21395 9236 9855 9481 14346 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:4116962-4117362" 3013 2417 2668 3401 3613 3328 1094 1314 683 564 621 901 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:4125620-4126020" 3190 2855 3082 3804 3950 3586 4230 4906 2659 2463 2488 3702 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:4239024-4239424" 22 6 13 24 54 46 188 177 145 102 123 141 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:43885357-43885757" 662 320 398 597 660 627 949 1043 701 626 435 1137 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:47033743-47034143" 68 29 54 51 77 65 23 16 9 12 7 33 "d0_noncoding" "Neg" "Neg_1"
"chr10:49674538-49674938" 0 0 0 0 0 0 0 0 0 0 0 0 "d0_noncoding" "Neg" "Neg_1"
"chr10:49743819-49744219" 6227 4461 5353 6658 7936 6586 2242 2217 1327 1250 670 2738 "d0_noncoding" "Neg" "Neg_1"
"chr10:49744995-49745395" 82 19 44 46 118 73 48 36 22 31 38 108 "d0_noncoding" "Neg" "Neg_1"
"chr10:52558053-52558453" 758 527 576 872 895 750 561 614 209 252 311 384 "d0_noncoding" "Neg" "Neg_1"
"chr10:53669886-53670286" 74 28 38 66 92 91 36 50 13 28 15 16 "d0_noncoding" "Neg" "Neg_1"
"chr10:53780498-53780898" 4462 3631 3945 4736 5065 4208 10522 10857 5565 5778 5757 9341 "d0_noncoding" "Neg" "Neg_1"
"chr10:53930526-53930926" 306 113 219 258 293 310 288 222 186 183 149 256 "d0_noncoding" "Neg" "Neg_1"
"chr10:5475173-5475573" 162 111 122 187 188 180 184 195 73 85 74 139 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:5508306-5508706" 1154 875 1096 1304 1265 1096 386 485 237 205 92 412 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:57855235-57855635" 2360 1896 1977 2407 2796 2314 418 493 297 266 125 291 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:59658030-59658430" 3972 3328 3874 4463 4544 4178 5663 6792 2858 2570 2596 5118 "d0_noncoding" "Neg" "Neg_1"
"chr10:59810299-59810699" 727 353 521 584 858 694 594 473 261 259 201 452 "d0_noncoding" "Neg" "Neg_1"
"chr10:6170759-6171159" 1409 1594 1559 1784 1992 1541 2509 2712 1090 1291 1210 1500 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:61914822-61915222" 1030 577 767 863 1013 910 321 369 150 113 172 229 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:61956449-61956849" 1704 776 1253 1461 2056 1710 1374 988 739 693 980 784 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
